Fecha,M1,M2,M3
01-01-1996,2382.53,10497.13,20575.49
01-02-1996,2336.95,10719.08,20911.09
01-03-1996,2320.27,10808.96,21225.81
01-04-1996,2328.4,11056.62,21419.62
01-05-1996,2316.97,11197.18,21522.34
01-06-1996,2346.61,11425.72,22054.93
01-07-1996,2271.64,11621.61,22592.19
01-08-1996,2278.05,11788.85,23082.78
01-09-1996,2368.61,11760.31,23131.75
01-10-1996,2332.02,12104.44,23521.92
01-11-1996,2394.6,12209.8,23711.36
01-12-1996,2589,12473.43,24102.06
01-01-1997,2710.41,12831.49,24605.95
01-02-1997,2665.93,12965.01,24954.98
01-03-1997,2662.52,13071.38,25184.18
01-04-1997,2682.99,13348.82,25720.66
01-05-1997,2695.48,13501.27,25991.87
01-06-1997,2772.74,13806.78,26515.85
01-07-1997,2719.99,13912.71,26883.67
01-08-1997,2685.09,13899.63,26894.62
01-09-1997,2851.51,14350.81,27539.1
01-10-1997,2748,14714.63,27973.64
01-11-1997,2754.32,14804.3,28313.89
01-12-1997,3107.84,15341.45,29045.1
01-01-1998,3108.28,15351.24,28569.46
01-02-1998,2960.88,15568.44,28684.31
01-03-1998,2950.06,15748.93,29086.18
01-04-1998,2975.04,15847.01,29382.41
01-05-1998,2960.72,16088.89,29537.17
01-06-1998,3001.54,16185.58,29805.26
01-07-1998,2767.33,16492.67,29925.14
01-08-1998,2667.12,16430.86,30047.04
01-09-1998,2701.4,16303.28,30029.44
01-10-1998,2596.21,16374.97,30210.79
01-11-1998,2616.12,16389.09,30448.57
01-12-1998,2851.38,16495.7,30881.64
01-01-1999,2920.07,16625.21,31230.58
01-02-1999,2945.45,16508.26,31216.27
01-03-1999,2903.54,16524.68,31144.82
01-04-1999,2882.3,16764.41,31502.13
01-05-1999,2932.15,17244.34,32249.66
01-06-1999,2989.85,17642.67,32911.19
01-07-1999,2909.66,17705.64,32883.24
01-08-1999,2847.6,17735.48,32839.79
01-09-1999,3045.56,17940.41,33239.69
01-10-1999,3016.88,18018.75,33445.23
01-11-1999,3083.94,18205.74,33951.37
01-12-1999,3426.41,18406.9,34514.31
01-01-2000,3436.09,18743.5,34620.55
01-02-2000,3356.79,18568.47,34676.19
01-03-2000,3209.11,18572.77,34805.43
01-04-2000,3172.38,18828.2,35218.02
01-05-2000,3133.43,18993.87,35470.73
01-06-2000,3155.78,19190.67,35970.41
01-07-2000,3104.78,19393.53,36381.48
01-08-2000,3104.52,19186.5,36713.25
01-09-2000,3198,19172.51,36792.76
01-10-2000,3142.59,19421.17,37042.06
01-11-2000,3176.78,19632.54,37652.97
01-12-2000,3518.1,20129.36,38544.97
01-01-2001,3509.83,20513.05,38974.04
01-02-2001,3470.61,20284.85,38804.41
01-03-2001,3700.56,20351.64,38958.53
01-04-2001,3704.13,20741.95,39555.95
01-05-2001,3698.85,20808.75,39631.77
01-06-2001,3719.53,20957.06,40173.57
01-07-2001,3698.11,21039.91,40797.26
01-08-2001,3595.45,20824.74,41240.93
01-09-2001,3779.49,20706.79,41459.9
01-10-2001,3737.1,20974.11,42015.44
01-11-2001,3658.87,21081.13,42272.45
01-12-2001,4009.68,21302.1,42521.63
01-01-2002,4140.01,21500.44,42983.79
01-02-2002,4061.37,21610.4,43082.61
01-03-2002,4044.65,21667.7,43090.91
01-04-2002,4038.49,21878.23,43216.7
01-05-2002,4116.38,21854.03,43150.56
01-06-2002,4161.53,21977.95,43475.36
01-07-2002,4114.42,22166.9,43650.4
01-08-2002,4196.22,22167.64,43873.97
01-09-2002,4285.08,22398.66,44104.08
01-10-2002,4283.5,22512.1,44206.43
01-11-2002,4461,23013.75,45090.58
01-12-2002,4669.59,23096.33,45201.73
01-01-2003,4887.26,23176.41,45746.11
01-02-2003,4863.35,23304.5,46349.97
01-03-2003,5244.87,23766.53,46748.34
01-04-2003,5104.91,23474.65,46923.39
01-05-2003,5124.14,22848.17,46816.24
01-06-2003,5043.7,22600.25,46478.12
01-07-2003,4857.07,22264.59,46258.26
01-08-2003,4809.77,22008.74,46482.54
01-09-2003,4987.57,22199.03,46725.94
01-10-2003,4919.82,22339.47,46431.7
01-11-2003,5008.82,22225.25,46332.57
01-12-2003,5492.03,22548.45,46872.01
01-01-2004,5654.42,22943.48,46949.97
01-02-2004,5591.28,23038.73,47016.09
01-03-2004,5951.71,23596.54,48014.31
01-04-2004,5715.71,23662.43,48080.96
01-05-2004,5981.1,23796.06,48319.01
01-06-2004,6088.11,23987.78,48783.08
01-07-2004,6073.69,24529.61,49168.49
01-08-2004,6085.28,24905.99,49625.55
01-09-2004,6303.46,25594.12,50388.84
01-10-2004,6422.36,26230.65,50959.74
01-11-2004,6446.68,26240.99,51414.4
01-12-2004,6814.64,26769.15,51839.83
01-01-2005,6979.7,27362.74,51844.17
01-02-2005,6868.88,27505.86,51938.16
01-03-2005,6829.54,27802.67,52416.39
01-04-2005,6898.39,28497.44,53290.97
01-05-2005,7017.65,28983.16,54116.12
01-06-2005,6911.55,29517.85,54796.59
01-07-2005,6868.98,29898.82,55084.31
01-08-2005,6768.78,29832.09,55195.44
01-09-2005,6839.14,29916.57,55624.69
01-10-2005,6856.77,30723.5,56218.45
01-11-2005,6938.54,31517.69,57165.28
01-12-2005,7578.92,33191.26,58668.74
01-01-2006,7577.61,33274.67,58411.44
01-02-2006,7548.37,33541.19,58808.39
01-03-2006,7539.58,34052.35,59336.78
01-04-2006,7636.64,34529.1,59766.38
01-05-2006,7695.54,34948.96,60307.35
01-06-2006,7821.8,35404.56,60802.21
01-07-2006,7690.19,35450.63,60572.14
01-08-2006,7657.59,36297.98,61517.87
01-09-2006,7925.01,37092.76,62991.8
01-10-2006,7739.57,36840.5,62912.37
01-11-2006,7867.24,37315.77,63560.2
01-12-2006,8580.1,38638.56,65036.86
01-01-2007,8791.85,39510.91,65742.83
01-02-2007,8739.44,39865.08,66355.99
01-03-2007,8781.53,40408.37,67012.51
01-04-2007,8996.02,41120.14,67502.09
01-05-2007,9048.89,41747.56,68685.76
01-06-2007,9092.79,42477.87,69631.05
01-07-2007,9141.19,43093.67,70343.28
01-08-2007,9121.45,43188.87,70756.86
01-09-2007,9409.23,43516.39,71323.97
01-10-2007,9190.83,43978.31,72127.28
01-11-2007,9570.53,45459.75,73829.65
01-12-2007,10129.86,47119.37,75178.65
01-01-2008,10204.1,47931.59,75854.69
01-02-2008,10156.8,48453.3,76113.4
