Fecha,Colocaciones reales,Colocaciones Consumo,Colocaciones Vivienda,Colocaciones Comerciales
01-01-1996,32228.69,3171.11,4374.26,19678.42
01-02-1996,32368.45,3247.46,4441.41,19723.85
01-03-1996,32528.92,3375.61,4518.1,19804.15
01-04-1996,32421.08,3413.43,4629.11,19680.09
01-05-1996,32620.29,3418.69,4705.07,19705.75
01-06-1996,32960.38,3418.41,4792.25,20007.43
01-07-1996,33284.53,3470.05,4868.83,20217.75
01-08-1996,33540.66,3534.93,4942.66,20411.4
01-09-1996,33928.01,3612.66,5014.61,20600.84
01-10-1996,34431.4,3721.48,5077.53,20878.36
01-11-1996,35197.34,3900.51,5160.88,21442.79
01-12-1996,35848.08,4045.35,5253.64,21965.65
01-01-1997,35971.89,4247.85,5319.09,22049.28
01-02-1997,36108.99,4499.18,5363.99,22045.35
01-03-1997,36496.03,4602.27,5482.29,22253.22
01-04-1997,37073.12,4646.93,5558.29,22707.57
01-05-1997,37420.55,4663.82,5636.23,22938.9
01-06-1997,37496.98,4666.82,5717.15,22972.58
01-07-1997,37815.41,4708.99,5771.87,23176.12
01-08-1997,38322.61,4803.39,5842.15,23476.23
01-09-1997,38489.21,4842.8,5886.07,23580.67
01-10-1997,39057.68,4877.04,5944.91,23959.63
01-11-1997,40255.42,4919.97,6077.27,24745.79
01-12-1997,40555.92,4804.73,5986.71,25348.96
01-01-1998,41066.65,4946.51,6219.01,25349.5
01-02-1998,41470.35,4950.1,6314.82,25666.36
01-03-1998,41572.07,4996.75,6367.75,25730.43
01-04-1998,41879.12,4930.36,6402.89,26180.22
01-05-1998,42053.65,4836.11,6476.04,26407.92
01-06-1998,42139.66,4703.57,6569.77,26611.56
01-07-1998,41952.65,4609.57,6636.76,26648.99
01-08-1998,42102.79,4525.5,6719.5,26773.9
01-09-1998,42070.9,4484.02,6807.25,26709.64
01-10-1998,42085.58,4464.42,6825.36,26776.08
01-11-1998,42286.26,4487.23,6899.02,26835.08
01-12-1998,42148.25,4352.53,6902.83,26917.16
01-01-1999,42627.89,4424.89,6982.97,27157.35
01-02-1999,42717.76,4370.48,7029.23,27175.4
01-03-1999,41976.61,4370.56,7046.95,26776.26
01-04-1999,42100.48,4342.97,7091.35,26913.38
01-05-1999,42326.58,4272.83,7167.13,27039.33
01-06-1999,42370.41,4198.8,7245.27,26869.09
01-07-1999,42738,4179.12,7298.78,27213.11
01-08-1999,42913.47,4178.12,7389.94,27267.18
01-09-1999,43307.02,4203.97,7490.86,27334.03
01-10-1999,43560.68,4216.62,7556.56,27411.8
01-11-1999,44143.37,4261.17,7630.04,27809.88
01-12-1999,43970.11,4230.94,7778.06,27831.36
01-01-2000,44004.81,4321.75,7839.77,27775.87
01-02-2000,43523.61,4283.85,7848.44,27474.96
01-03-2000,43570.26,4311.81,7878.82,27458.67
01-04-2000,43883.55,4288.67,7877.21,27637.01
01-05-2000,44029.66,4239.89,7947.95,27600.88
01-06-2000,44192.49,4183.62,8006.49,27585.58
01-07-2000,44420.81,4179.45,8042.56,27553.92
01-08-2000,44419.4,4156.6,8052.19,27708.4
01-09-2000,44524.28,4138.51,8054.4,27773.89
01-10-2000,44715.18,4147.78,8085.48,27892.64
01-11-2000,45307.29,4171.82,8142.99,28283.58
01-12-2000,45784,4166.29,8192.36,28947.11
01-01-2001,45745.2,4284.25,8207.44,28931.56
01-02-2001,46095.23,4290.68,8255.52,29174.08
01-03-2001,46295.07,4325.87,8232.78,29168.27
01-04-2001,46660.56,4291.06,8239.43,29488.17
01-05-2001,47032.23,4230.89,8244.6,29633.28
01-06-2001,47488.5,4191.6,8354.08,29818.08
01-07-2001,48319.3,4194.22,8454.51,30147.79
01-08-2001,48046.27,4151.98,8417.61,30038.1
01-09-2001,48713.72,4160.72,8369.62,30519.63
01-10-2001,49182.14,4193.57,8469.75,30798.88
01-11-2001,49168.61,4252.58,8556.24,31111.03
01-12-2001,49222.43,4346.71,8574.34,31375.58
01-01-2002,49695.3,4470.85,8604.87,31403.68
01-02-2002,49414.52,4475.54,8615.03,31179.05
01-03-2002,49068.46,4556.29,8604.7,30855.37
01-04-2002,48577.25,4568.92,8610.95,30530.3
01-05-2002,48594.21,4553.25,8690.91,30312.78
01-06-2002,49670.89,4574.75,8801.76,30765.69
01-07-2002,49660.99,4580.4,8864.53,30525.86
01-08-2002,49799.14,4603.28,8914.33,30495
01-09-2002,50264.01,4688.5,8928.03,30600.92
01-10-2002,50046.16,4719.2,8944.62,30622.84
01-11-2002,50030.51,4815.27,9081.1,30920.25
01-12-2002,50173.61,4925.88,9121.38,31085.41
01-01-2003,50569.02,5082.13,9162.96,31003.45
01-02-2003,50559.4,5045.45,9136.03,30837.67
01-03-2003,49894.61,5063.65,9211.41,30490.94
01-04-2003,50641.48,5114.75,9398.07,31117.79
01-05-2003,51039.57,5144.73,9550.43,31175.28
01-06-2003,50843.56,5203.36,9674.5,30805.22
01-07-2003,51173.85,5275.62,9727.44,30926.84
01-08-2003,51224.45,5303.7,9697.14,31074.96
01-09-2003,51131.46,5406.73,9793.85,31022.55
01-10-2003,51278.88,5486.74,9982.05,31063.73
01-11-2003,52052.74,5626.56,10106.01,31465.72
01-12-2003,52349.83,5678.14,10243.23,31709.62
01-01-2004,53485.81,5901.4,10202.08,32632.83
01-02-2004,53552.33,5928.15,10243.39,32528.3
01-03-2004,54533.98,6048.53,10374.17,32845.21
01-04-2004,55255.4,6074.21,10457.15,33124.82
01-05-2004,55746.88,6086.49,10576.5,33142.3
01-06-2004,55983.36,6141.85,10843.23,33086.53
01-07-2004,56847.76,6223.38,11139.75,33404.76
01-08-2004,57106.38,6263.05,11244.98,33556.87
01-09-2004,57318.57,6395.65,11514.3,33595.34
01-10-2004,58392.52,6505.44,11674.54,34212.57
01-11-2004,58627.38,6645.29,11837.85,34366.39
01-12-2004,59122.04,6766.37,12161.75,34814.67
01-01-2005,60487.18,7068.24,12271.3,35501.29
01-02-2005,60869.46,7161.04,12331.75,35541.4
01-03-2005,61557.49,7327.34,12469.31,35866.3
01-04-2005,62066.06,7380.29,12443.62,36160.22
01-05-2005,62706.18,7417.36,12617.66,36392.77
01-06-2005,62805.43,7480.76,12813.08,36442.7
01-07-2005,62770.57,7562.96,12966.14,36411.73
01-08-2005,63503.58,7698.36,13241.47,36796.39
01-09-2005,64014.04,7805.65,13461.52,37156.32
01-10-2005,64995.2,7951.33,13642.91,37558.47
01-11-2005,66390.07,8186.41,13904.41,38681.47
01-12-2005,67715.88,8369.22,14143.6,39651.09
01-01-2006,68301.28,8517.96,14246.26,39565.74
01-02-2006,68914.32,8647.24,14401.73,39787.06
01-03-2006,69968.06,8871.82,14514.1,40365.75
01-04-2006,70836.7,8974.96,14570.69,41050.67
01-05-2006,71527.91,9071.1,14784.95,41090.14
01-06-2006,72437.18,9144.32,14926.4,41315.1
01-07-2006,72709.53,9237.65,15128.4,41618.38
01-08-2006,73611.59,9432.91,15402.41,42042.64
01-09-2006,74208.38,9603.09,15599.93,42100.75
01-10-2006,75024.5,9803.5,15799.71,42583.59
01-11-2006,76633.66,10008,15998.84,43601.01
01-12-2006,78157.01,10140.89,16138.27,44696.64
01-01-2007,78736.17,10226.84,16282.69,44851.25
01-02-2007,79764.69,10338.37,16526.23,45463.1
01-03-2007,80392.72,10493.15,16708.7,45793.61
01-04-2007,81244.85,10561.4,16837.58,46244.19
01-05-2007,81996.73,10559.74,17067.93,46553.86
01-06-2007,82426.17,10542.32,17312.03,46873.35
01-07-2007,82675.86,10556.13,17460.32,47079.03
01-08-2007,83438.51,10622.04,17678.45,47502.23
01-09-2007,84018.78,10609.93,17925.23,48000.14
01-10-2007,85076.74,10716.51,18239.47,48762.27
01-11-2007,86734.31,10788.48,18373.03,49846.36
01-12-2007,87827.66,10854.67,18627.06,50852.79
01-01-2008,87724.55,10978.46,19015.2,50664
01-02-2008,88304.57,11016.93,19137.04,50972.75
01-03-2008,88154.16,11044.03,19259.36,50792.07
01-04-2008,90407.53,11134.14,19563.31,51767.99
01-05-2008,91037.29,10999.33,19595.43,51898.16
01-06-2008,92130.96,10882.89,19727.92,52193.73
01-07-2008,91796.89,10817.04,19949,52232.36
01-08-2008,92137.38,10796.68,20166.36,52438.35
01-09-2008,93130.16,10713.8,20281.55,52769.68
01-10-2008,95997.89,10631.25,20413.15,54145.71
01-11-2008,96743.93,10693.1,20678.31,54644.43
01-12-2008,96667.94,10810.91,21055.05,54674.85
01-01-2009,96138.21,10879.48,21213.77,54278.68
01-02-2009,95092.67,10845.49,21151.57,53840.48
01-03-2009,93434.22,10807.2,21098.37,52746.58
01-04-2009,93825.39,10875.87,21191.88,53395.78
01-05-2009,93664.94,10832.48,21361.37,53366.55
01-06-2009,92060.17,10720.37,21485.21,52793.06
01-07-2009,92631.11,10776.86,21753.15,53064.76
01-08-2009,93731.97,10828.89,21988.39,53815.09
01-09-2009,93039.23,10749.77,21925.4,53521.17
01-10-2009,93458.82,10826.33,22240.27,53577.52
01-11-2009,93632.56,10940.13,22666.61,53708.88
01-12-2009,95943.13,11075.58,22923.74,55864.36
01-01-2010,96152.06,11064.15,22866.37,55360.97
01-02-2010,96199.52,11053.18,22952.63,55518.11
01-03-2010,96163.96,11117.32,23080.42,55266.2
01-04-2010,96691.57,11220.81,23117.72,55417.79
01-05-2010,97398.23,11198.55,23318.17,55598.77
01-06-2010,98441.82,11267.89,23647.98,55961.72
01-07-2010,97304.62,11300,23674.91,55171.05
01-08-2010,98062.57,11476.64,24017.02,55490.37
01-09-2010,98155.17,11529.55,24136.83,55676.06
01-10-2010,99617.98,11660.95,24390.26,56266.19
01-11-2010,100407.8,11840.5,24599.52,56522.76
01-12-2010,100832.62,11988.7,24870.92,57227.43
01-01-2011,102197.21,12114.94,24955.29,57474.2
01-02-2011,102729.61,12220.03,25091.9,57564.06
01-03-2011,103563.05,12395.7,25152.14,57854.89
01-04-2011,104572.67,12565.02,25346.85,58444.48
01-05-2011,106047.89,12593.97,25504.74,59225.23
01-06-2011,106503.48,12716.88,25760.04,59523
01-07-2011,107145.37,12850.31,25958.09,59645.77
01-08-2011,108266.38,13045.02,26131.02,60095.28
01-09-2011,110772.57,13100.75,26206.4,61323.96
01-10-2011,110940.9,13186.57,26322.53,61880.31
01-11-2011,112626.92,13454.14,26566.34,62695.34
01-12-2011,112909.77,13513.92,26767.37,63332.06
01-01-2012,113148.9,13626.26,26996.41,63909.71
01-02-2012,113597.11,13690.41,27113.87,64087.62
01-03-2012,115455.19,13848.06,27349.78,65174.27
01-04-2012,116719.86,13965.04,27571.14,65831.86
01-05-2012,119473.77,14039.98,27777.06,67249.19
01-06-2012,120694.23,14176.1,28099.71,68296.05
01-07-2012,120673.17,14289.65,28211.25,68285.6
01-08-2012,121155.73,14455.65,28346.65,68173.22
01-09-2012,120968.59,14435.85,28333.68,68305.59
