Fecha,En el mes,El mes siguiente,En 11 meses (variación 12 meses),En 23 meses (variación 12 meses),En 35 meses (variación 12 meses)
01-02-2000,0.50,,,,
01-03-2000,0.80,,,,
01-04-2000,0.50,,,,
01-05-2000,0.30,,,,
01-06-2000,0.30,,,,
01-07-2000,0.40,,,,
01-08-2000,0.30,,,,
01-09-2000,0.40,,,,
01-10-2000,0.40,,,,
01-11-2000,0.40,,,,
01-12-2000,0.20,,,,
01-01-2001,0.30,,3.70,3.50,
01-02-2001,0.20,,,,
01-03-2001,0.30,,,,
01-04-2001,0.30,,,,
01-05-2001,0.40,,,,
01-06-2001,0.30,,,,
01-07-2001,0.10,,,,
01-08-2001,0.30,,,,
01-09-2001,0.40,,3.60,3.30,
01-10-2001,0.40,,3.80,3.50,
01-11-2001,0.20,,3.90,3.50,
01-12-2001,0.10,,3.50,3.20,
01-01-2002,0.10,,3.20,3.10,
01-02-2002,0.00,,3.10,3.20,
01-03-2002,0.40,,3.00,3.10,
01-04-2002,0.50,,3.10,3.20,
01-05-2002,0.20,,3.00,3.00,
01-06-2002,0.20,,2.80,3.00,
01-07-2002,0.20,,2.80,3.00,
01-08-2002,0.20,,2.60,3.00,
01-09-2002,0.40,,2.70,3.00,
01-10-2002,0.50,,3.00,3.00,
01-11-2002,0.20,,3.00,3.00,
01-12-2002,-0.10,,3.00,3.00,
01-01-2003,0.20,,3.00,3.00,
01-02-2003,0.20,,3.00,3.00,
01-03-2003,0.70,,3.00,3.00,
01-04-2003,-0.10,,3.00,3.00,
01-05-2003,-0.10,,2.90,3.00,
01-06-2003,0.10,,2.90,3.00,
01-07-2003,0.10,,3.10,3.00,
01-08-2003,0.20,,3.00,3.00,
01-09-2003,0.30,,3.20,3.00,
01-10-2003,0.50,,3.00,3.00,
01-11-2003,0.10,,2.50,3.00,
01-12-2003,-0.10,,2.30,3.00,
01-01-2004,-0.10,,2.00,2.80,
01-02-2004,0.00,,2.10,2.80,
01-03-2004,0.40,,2.20,3.00,
01-04-2004,0.20,,2.40,2.90,
01-05-2004,0.30,,2.50,3.00,
01-06-2004,0.30,,2.60,3.00,
01-07-2004,0.10,,2.50,3.00,
01-08-2004,0.30,,2.60,3.00,
01-09-2004,0.30,,2.80,3.00,
01-10-2004,0.30,,3.00,3.00,
01-11-2004,0.20,,2.90,3.00,
01-12-2004,0.10,,2.80,3.00,
01-01-2005,-0.10,,2.70,3.00,
01-02-2005,0.00,,2.60,3.00,
01-03-2005,0.50,,2.70,3.00,
01-04-2005,0.40,,2.80,3.00,
01-05-2005,0.30,,2.90,3.00,
01-06-2005,0.30,,3.00,3.00,
01-07-2005,0.30,,2.90,3.00,
01-08-2005,0.30,,3.00,3.00,
01-09-2005,0.60,,3.20,3.00,
01-10-2005,0.40,,3.30,3.00,
01-11-2005,0.10,,3.10,3.00,
01-12-2005,-0.20,,3.00,3.00,
01-01-2006,0.00,,3.00,3.00,
01-02-2006,0.10,,3.10,3.00,
01-03-2006,0.50,,3.00,3.00,
01-04-2006,0.40,,3.00,3.00,
01-05-2006,0.30,,3.00,3.00,
01-06-2006,0.20,,3.00,3.00,
01-07-2006,0.30,,3.00,3.00,
01-08-2006,0.40,,3.20,3.00,
01-09-2006,0.30,,3.00,3.00,
01-10-2006,0.00,,2.70,3.00,
01-11-2006,0.00,,2.90,3.00,
01-12-2006,0.00,,2.90,3.00,
01-01-2007,0.10,,3.00,3.00,
01-02-2007,0.10,,2.70,3.00,
01-03-2007,0.40,,2.80,3.00,
01-04-2007,0.40,,2.90,3.00,
01-05-2007,0.40,,3.00,3.00,
01-06-2007,0.40,,3.00,3.00,
01-07-2007,0.50,,3.20,3.00,
01-08-2007,0.50,,3.50,3.00,
01-09-2007,0.60,,3.50,3.00,
01-10-2007,0.40,,3.50,3.00,
01-11-2007,0.30,,3.50,3.00,
01-12-2007,0.10,,3.60,3.00,
01-01-2008,0.20,,4.00,3.30,
01-02-2008,0.00,,3.70,3.00,
01-03-2008,1.00,,4.20,3.30,
01-04-2008,0.40,,4.00,3.10,
01-05-2008,0.50,,4.10,3.30,
01-06-2008,0.70,,4.50,3.50,
01-07-2008,0.90,,5.50,3.80,
01-08-2008,0.80,,5.50,3.80,
01-09-2008,0.90,,6.00,3.90,
01-10-2008,0.60,,5.30,3.50,
01-11-2008,0.20,,4.60,3.40,
01-12-2008,-0.20,,3.60,3.00,
01-01-2009,-0.30,,3.50,3.00,
01-02-2009,-0.10,,3.00,3.00,
01-03-2009,0.50,,2.90,3.00,
01-04-2009,0.20,,2.50,3.00,
01-05-2009,0.10,,2.50,3.00,
01-06-2009,0.10,,2.20,3.00,
01-07-2009,0.10,,2.10,3.00,
01-08-2009,-0.10,,2.00,3.00,
01-09-2009,0.40,,2.10,3.00,
01-10-2009,0.20,,2.30,3.00,
01-11-2009,0.00,,2.30,3.00,
01-12-2009,-0.20,,2.30,3.00,
01-01-2010,-0.10,,2.50,3.00,
01-02-2010,0.10,0.40,2.60,3.00,
01-03-2010,0.80,0.50,3.20,3.00,
01-04-2010,0.70,0.40,3.40,3.00,
01-05-2010,0.40,0.30,3.20,3.00,
01-06-2010,0.30,0.30,3.40,3.00,
01-07-2010,0.50,0.20,3.25,3.00,
01-08-2010,0.40,0.50,3.45,3.00,
01-09-2010,0.41,0.23,3.30,3.00,
01-10-2010,0.20,0.10,3.10,3.00,
01-11-2010,0.14,0.10,3.10,3.00,
01-12-2010,0.03,0.10,3.20,3.00,
01-01-2011,0.12,0.10,3.55,3.20,
01-02-2011,0.20,0.50,3.80,3.20,
01-03-2011,0.70,0.40,4.05,3.20,
