Fecha,IMACEC un mes atrás,"IMACEC no minero, un mes atrás",PIB en el trimestre calendario de la encuesta,"PIB no minero, en el trimestre calendario de la encuesta"
01-02-2000,5.3,,5.4,
01-03-2000,6,,5.4,
01-04-2000,5.8,,6,
01-05-2000,6.5,,6.3,
01-06-2000,6.7,,6.5,
01-07-2000,6,,5.9,
01-08-2000,6,,5.6,
01-09-2000,5,,5.8,
01-10-2000,4.5,,5,
01-11-2000,5,,4.8,
01-12-2000,4.8,,5,
01-01-2001,4.4,,5,
01-02-2001,4.9,,4.7,
01-03-2001,4,,4.3,
01-04-2001,3.6,,4,
01-05-2001,3.5,,4,
01-06-2001,3.3,,3.5,
01-07-2001,3,,3.6,
01-08-2001,3.5,,3.8,
01-09-2001,3.8,,3.5,
01-10-2001,3,,3.3,
01-11-2001,3,,3,
01-12-2001,2.7,,2.9,
01-01-2002,2.9,,2.8,
01-02-2002,2.2,,2.3,
01-03-2002,2.3,,2.4,
01-04-2002,2.2,,2.6,
01-05-2002,2,,2.5,
01-06-2002,1.5,,2.3,
01-07-2002,1.5,,2.7,
01-08-2002,2.5,,2.5,
01-09-2002,1.5,,2,
01-10-2002,2,,2.5,
01-11-2002,2.2,,2.5,
01-12-2002,2.1,,2.3,
01-01-2003,2.5,,2.8,
01-02-2003,3,,3,
01-03-2003,3,,3.1,
01-04-2003,4,,3,
01-05-2003,3,,3,
01-06-2003,3.3,,3.2,
01-07-2003,3.3,,3.2,
01-08-2003,3,,3.2,
01-09-2003,3.2,,3.2,
01-10-2003,3.5,,3.5,
01-11-2003,3.5,,3.5,
01-12-2003,3.9,,3.9,
01-01-2004,3.5,,4.1,
01-02-2004,3.8,,4.2,
01-03-2004,3.5,,3.6,
01-04-2004,4.5,,4.6,
01-05-2004,4.5,,4.8,
01-06-2004,4.8,,4.9,
01-07-2004,5,,5,
01-08-2004,4.7,,5.1,
01-09-2004,5.3,,5.1,
01-10-2004,5.7,,5.4,
01-11-2004,5.7,,5.5,
01-12-2004,6.5,,6.1,
01-01-2005,7,,6,
01-02-2005,6.8,,6.2,
01-03-2005,6.2,,6.1,
01-04-2005,5.9,,6,
01-05-2005,5.7,,5.8,
01-06-2005,6,,6,
01-07-2005,6,,5.8,
01-08-2005,5.9,,5.8,
01-09-2005,5.8,,5.6,
01-10-2005,5.8,,6,
01-11-2005,5.8,,5.9,
01-12-2005,5.4,,5.3,
01-01-2006,5.7,,5.7,
01-02-2006,5.8,,5.8,
01-03-2006,5.7,,5.6,
01-04-2006,5.5,,5.5,
01-05-2006,5.3,,5.3,
01-06-2006,5,,4.6,
01-07-2006,5.2,,5.5,
01-08-2006,5.4,,5.5,
01-09-2006,4.8,,4.8,
01-10-2006,4,,4.9,
01-11-2006,4,,4.6,
01-12-2006,5,,4.8,
01-01-2007,4.1,,4.9,
01-02-2007,4.5,,4.8,
01-03-2007,4.7,,4.7,
01-04-2007,5,,5.1,
01-05-2007,5.9,,5.5,
01-06-2007,5.8,,6,
01-07-2007,5.8,,6,
01-08-2007,6,,6,
01-09-2007,5.8,,5.3,
01-10-2007,4.8,,5.5,
01-11-2007,5,,5,
01-12-2007,4.8,,4.7,
01-01-2008,4.7,,4.6,
01-02-2008,4.2,,4.3,
01-03-2008,3.9,,3.8,
01-04-2008,4,,4,
01-05-2008,3.8,,3.8,
01-06-2008,3.8,,4,
