Fecha,En la siguiente reunión,En la subsiguiente reunión,Dentro de 2 meses,Dentro de 5 meses,Dentro de 11 meses,Dentro de 17 meses,Dentro de 23 meses,Dentro de 35 meses
01-01-2002,6,,6,,6.5,,7,
01-02-2002,6,,5.5,,6,,6.63,
01-03-2002,5,,5,,5.75,,6.5,
01-04-2002,4.75,,4.75,,5.5,,6.25,
01-05-2002,4.25,,4.25,,5,,6,
01-06-2002,4,,4,,4.5,,5.5,
01-07-2002,4,,4,,4.5,,5.5,
01-08-2002,3.25,,3.25,,3.78,,4.75,
01-09-2002,3,,2.75,,3.25,,4.5,
01-10-2002,3,,3,,3.5,,4.5,
01-11-2002,3,,3,,3.5,,4.5,
01-12-2002,3,,3,,3.5,,4.38,
01-01-2003,3,,3,,3.5,,4.38,
01-02-2003,2.75,,2.75,,3.38,,,
01-03-2003,2.75,,2.75,,3.25,,4.5,
01-04-2003,2.75,,2.75,,3.5,,4.5,
01-05-2003,2.75,,2.75,,3.5,,4.7,
01-06-2003,2.75,,2.75,,3.5,,4.5,
01-07-2003,2.75,,2.75,,3.5,,4.5,
01-08-2003,2.75,,2.75,,3.5,,4.5,
01-09-2003,2.75,,2.75,,3.5,,4.5,
01-10-2003,2.75,,2.75,,3.5,,4.5,
01-11-2003,2.75,,2.75,,3.25,,4,
01-12-2003,2.75,,2.75,,3.25,,4,
01-01-2004,2.25,,2.25,,2.75,,3.5,
01-02-2004,1.75,,1.75,,2.5,,3.5,
01-03-2004,1.75,,1.75,,2.5,,3.5,
01-04-2004,1.75,,1.75,,2.5,,3.5,
01-05-2004,1.75,,1.75,,2.5,,3.5,
01-06-2004,1.75,,1.75,,2.5,,4,
01-07-2004,1.75,,1.75,,2.75,,3.5,
01-08-2004,1.75,,1.75,,2.75,,3.5,
01-09-2004,1.75,,2,,2.75,,3.5,
01-10-2004,2,,2.31,,3.25,,4.38,
01-11-2004,2.25,,2.25,,3.19,,4.25,
01-12-2004,2.5,,2.5,,3.5,,4.5,
01-01-2005,2.25,,2.5,,3.5,,4.5,
01-02-2005,2.5,,2.75,,3.75,,4.5,
01-03-2005,2.75,,3,,4,,5,
01-04-2005,3,,3.25,,4.25,,5,
01-05-2005,3.25,,3.5,,4.25,,5,
01-06-2005,3.5,,3.75,,4.5,,5,
01-07-2005,3.5,,3.75,,4.5,,5,
01-08-2005,3.75,,4,,4.5,,5,
01-09-2005,4,,4.25,,5,,5.5,
01-10-2005,4.25,,4.5,,5.25,,5.5,
01-11-2005,4.5,,4.75,,5.5,,5.75,
01-12-2005,4.75,,5,,5.5,,6,
01-01-2006,4.75,,4.88,,5.5,,5.75,
01-02-2006,4.75,,5,,5.5,,6,
01-03-2006,4.75,,5,,5.5,,6,
01-04-2006,5,,5.3,,5.5,,6,
01-05-2006,5,,5.3,,5.8,,6,
01-06-2006,5,,5.3,,5.8,,6,
01-07-2006,5.25,,5.5,,5.75,,6,
