Fecha,BCP dentro de 2 meses,BCP dentro de 11 meses,BCP dentro de 23 meses,BCU dentro de 2 meses,BCU dentro de 11 meses,BCU dentro de 23 meses
01-01-2001,,,,,5.9,6
01-02-2001,,,,,,
01-03-2001,,,,,,
01-04-2001,,,,,,
01-05-2001,,,,,,
01-06-2001,,,,,,
01-07-2001,,,,,,
01-08-2001,,,,,,
01-09-2001,,,,5.4,5.5,5.8
01-10-2001,,,,5.1,5.4,5.5
01-11-2001,,,,4.9,5.2,5.3
01-12-2001,,,,4.9,5.2,5.5
01-01-2002,,,,4.7,5,5.3
01-02-2002,,,,4.5,4.8,5.1
01-03-2002,,,,4.3,4.7,5
01-04-2002,,,,4.2,4.7,5
01-05-2002,,,,4,4.5,5
01-06-2002,,,,4.2,4.5,5
01-07-2002,,,,4.3,4.6,5
01-08-2002,,,,4,4.4,5
01-09-2002,,,,3,3.5,4.2
01-10-2002,,,,2.9,3.5,4
01-11-2002,,,,3.1,3.5,4
01-12-2002,,,,3.1,3.6,4
01-01-2003,,,,3.1,3.5,4
01-02-2003,,,,2.9,3.5,4
01-03-2003,,,,2.8,3.4,4
01-04-2003,,,,2.8,3.4,4
01-05-2003,,,,2.9,3.5,4
01-06-2003,,,,3,3.5,4
01-07-2003,,,,3,3.4,4
01-08-2003,,,,2.9,3.5,4
01-09-2003,,,,2.9,3.5,4
01-10-2003,,,,3.2,3.6,4.2
01-11-2003,,,,3,3.5,4
01-12-2003,,,,3.2,3.5,4
01-01-2004,,,,3.2,3.5,4.2
01-02-2004,,,,3,3.5,3.8
01-03-2004,,,,2.7,3.3,3.9
01-04-2004,,,,2.6,3.2,3.7
01-05-2004,,,,2.6,3.2,3.5
01-06-2004,,,,2.5,3.1,3.5
01-07-2004,,,,2.5,3.1,3.5
01-08-2004,,,,2.5,3.2,3.5
01-09-2004,,,,2.5,3,3.5
01-10-2004,5.3,5.8,6.2,2.5,3,3.7
01-11-2004,5.5,6.1,6.5,2.6,3.1,3.5
01-12-2004,5.5,6,6.4,2.7,3.1,3.5
01-01-2005,5.1,5.8,6.4,2.7,3.2,3.8
01-02-2005,5.1,5.7,6.3,2.7,3,3.5
01-03-2005,5.2,5.8,6.3,2.5,3,3.4
01-04-2005,5.4,5.9,6.4,2.4,3,3.4
01-05-2005,5.5,6,6.5,2.3,2.9,3.4
01-06-2005,5.5,6,6.2,2.3,2.8,3.2
01-07-2005,5.4,5.9,6.2,2.3,2.7,2.9
01-08-2005,5.5,6,6,2.2,2.5,2.9
01-09-2005,5.6,6,6.1,2,2.5,2.9
01-10-2005,5.8,6.1,6.2,2.2,2.5,2.9
01-11-2005,6.3,6.5,6.5,3.2,3.5,3.5
01-12-2005,6.3,6.5,6.5,3.2,3.5,3.5
01-01-2006,6.1,6.3,6.3,3.1,3.5,3.5
01-02-2006,6.1,6.3,6.3,3,3.2,3.5
