Fecha,Dentro de 2 meses,Dentro de 11 meses,Dentro de 23 meses
01-01-2001,,585,600
01-02-2001,,,
01-03-2001,,,
01-04-2001,,,
01-05-2001,,,
01-06-2001,,,
01-07-2001,,,
01-08-2001,,,
01-09-2001,660,660,678
01-10-2001,700,698,700
01-11-2001,701,700,705
01-12-2001,675,690,700
01-01-2002,655,670,680
01-02-2002,680,680,690
01-03-2002,670,674,680
01-04-2002,660,665,670
01-05-2002,653,660,660
01-06-2002,660,660,663
01-07-2002,690,670,675
01-08-2002,700,680,690
01-09-2002,714,700,705
01-10-2002,730,724,720
01-11-2002,720,720,720
01-12-2002,707,715,730
01-01-2003,713,710,715
01-02-2003,730,719,720
01-03-2003,740,720,730
01-04-2003,720,720,725
01-05-2003,700,705,710
01-06-2003,710,710,710
01-07-2003,700,705,711
01-08-2003,705,700,709
01-09-2003,690,693,704
01-10-2003,660,665,677
01-11-2003,628,630,640
01-12-2003,610,620,630
01-01-2004,580,600,620
01-02-2004,580,600,620
01-03-2004,590,610,620
01-04-2004,600,610,627
01-05-2004,612,620,630
01-06-2004,630,620,640
01-07-2004,632,640,650
01-08-2004,635,640,655
01-09-2004,621,638,650
01-10-2004,600,615,626
01-11-2004,604,620,630
01-12-2004,585,600,620
01-01-2005,575,595,610
01-02-2005,575,590,600
01-03-2005,580,590,605
01-04-2005,590,595,610
01-05-2005,580,590,607
01-06-2005,590,598,610
01-07-2005,585,600,610
01-08-2005,560,575,587
01-09-2005,542,560,580
01-10-2005,535,550,565
01-11-2005,540,560,576
01-12-2005,520,550,570
01-01-2006,520,550,570
01-02-2006,530,550,567
01-03-2006,530,550,568
01-04-2006,525,540,560
01-05-2006,513,528,550
01-06-2006,530,540,550
01-07-2006,540,550,570
01-08-2006,540,550,563
01-09-2006,540,550,565
01-10-2006,540,550,560
01-11-2006,530,543,559
01-12-2006,530,540,550
01-01-2007,540,550,560
01-02-2007,545,560,570
01-03-2007,545,560,575
01-04-2007,540,550,560
01-05-2007,525,540,550
01-06-2007,525,535,549
01-07-2007,525,530,535
01-08-2007,520,525,535
01-09-2007,520,529,535
01-10-2007,510,520,530
01-11-2007,501,517,528
01-12-2007,505,515,525
01-01-2008,498,510,520
01-02-2008,480,500,520
01-03-2008,455,480,500
01-04-2008,448,475,500
01-05-2008,470,490,510
01-06-2008,480,500,519
01-07-2008,503,520,540
01-08-2008,506,520,530
01-09-2008,520,535,550
01-10-2008,565,573,580
01-11-2008,620,630,613
01-12-2008,650,650,640
01-01-2009,633,635,630
01-02-2009,630,640,625
01-03-2009,610,630,630
01-04-2009,580,600,600
01-05-2009,570,590,600
01-06-2009,563,580,590
01-07-2009,550,563,580
01-08-2009,540,558,570
01-09-2009,548,560,573
01-10-2009,549,560,577
01-11-2009,525,540,550
01-12-2009,500,515,535
01-01-2010,500,510,525
01-02-2010,529,520,530
01-03-2010,510,515,530
01-04-2010,510,520,539
01-05-2010,520,529,535
01-06-2010,530,540,544
01-07-2010,530,536,540
01-08-2010,515,525,535
01-09-2010,500,511,525
01-10-2010,490,500,520
01-11-2010,480,497.5,515
01-12-2010,480,495,510
01-01-2011,495,500,511
01-02-2011,480,491.2,505
01-03-2011,475,485,500
01-04-2011,475,485,500
01-05-2011,470,485,500
01-06-2011,470,485,500
01-07-2011,470,480,500
01-08-2011,470,480,495
01-09-2011,470,480,490
01-10-2011,500,508,503
01-11-2011,500,505,510
01-12-2011,510,515,515
01-01-2012,510,519,520
01-02-2012,485,500,500
01-03-2012,480,490,500
01-04-2012,485,490,500
01-05-2012,485,490,500
01-06-2012,500,500,500
01-07-2012,500,500,500
01-08-2012,485,495,500
01-09-2012,485,495,500
01-10-2012,480,490,500
01-11-2012,480,490,500
01-12-2012,480,490,497.9
01-01-2013,475,485,490
01-02-2013,475,485,490
01-03-2013,475,480,490
01-04-2013,472,480,490
01-05-2013,475,481,490
01-06-2013,500,510,510
01-07-2013,508,515,520
01-08-2013,515,520,521.5
01-09-2013,513,520,525
01-10-2013,510,520,525
01-11-2013,515,525,530
01-12-2013,530,535,540
01-01-2014,531,540,545
01-02-2014,550,550,550
01-03-2014,560,565,560
