Fecha,Inflación (var. IPC en %). Mes actual,Inflación (variación IPC en %). 1 mes adelante,Inflación (variación IPC en %). 2 meses adelante,Inflación (var. IPC en %). 12 meses siguientes (1 al 12),Inflación (var. IPC en %). Siguientes 12 meses (13 al 24),Expectativas de TPM (%). Mes actual,Expectativas de TPM (%). 1 reunión adelante,Expectativas de TPM (%). 2 reuniones adelante (3 meses siguientes),Expectativas de TPM (%). 3 reuniones adelante,Expectativas de TPM (%). 4 reuniones adelante (6 meses siguientes),Expectativas de TPM (%). 12 meses siguientes,Expectativas de TPM (%). 24 meses siguientes,Expectativas  de  tipo de cambio. 7 días adelante,Expectativas de tipo de cambio. 28 días adelante,Expectativas  de  tipo de cambio. 3 meses adelante,Expectativas  de  tipo de cambio. A fin de año
01-01-2010,-0.1,,,2.13,3,0.5,,,,0.88,2.57,5,497.5,,495,520
01-02-2010,0.15,,,2.55,3,0.5,,,,1.13,2.75,5.13,534.4,,522.5,525
01-03-2010,0.73,,,3.35,3.02,0.5,,,,0.82,2.25,5,520,,515,520
01-04-2010,0.7,,,3.5,3.35,0.5,,,,1.75,3.38,5.5,517.5,,513.74,518.75
01-05-2010,0.35,,,3.3,3.1,0.63,,,,2.13,3.5,5.5,532.5,,525,520
01-06-2010,0.25,,,3.48,3.15,1.13,,,,2.5,4,5.5,535,,530,525
01-07-2010,0.65,,,3.68,3.15,1.75,,,,3.32,4.69,5.63,527.25,,524.8,520.56
01-08-2010,0.3,,,3.77,3.24,2.25,,,,4,5,5.63,507.5,,505,508.75
01-09-2010,0.33,,,3.35,3.15,2.75,,,,4.13,5,5.5,495,,495,507.5
01-10-2010,0.17,,,3.3,3.05,2.88,,,,4,4.88,5.5,482.5,,487.5,500
01-11-2010,0.13,,,3.25,3.1,3.13,,,,4,5,5.5,477.5,,482.75,500
01-12-2010,0.05,,,3.3,3.2,3.32,,,,4.13,4.88,5.5,474.83,,482.5,495
01-01-2011,0.25,,,3.9,3.45,3.5,,,,4.44,5.38,5.75,494,,497.25,500
01-02-2011,0.2,,,4,3.55,3.63,,,,4.88,5.69,6,474.88,,480.98,490.13
01-03-2011,0.75,,,4.44,3.7,4.13,,,,5.38,6,6,477.5,,476.95,488.75
01-04-2011,0.4,,,4.25,3.6,4.75,,,,5.88,6,6,467.5,,472.5,482.5
01-05-2011,0.35,,,3.8,3.45,5,,,,5.75,6,5.88,467.5,,472.5,480
01-06-2011,0.3,,,3.55,3.33,5.38,,,,5.75,5.75,5.75,469,,475,480
01-07-2011,0.15,,,3.3,3.2,5.25,,5.5,,5.75,5.75,5.75,462.5,,467.5,472.5
01-08-2011,0.1,,,2.95,3,5.25,,5.25,,5.13,5.13,5.13,468.5,,472.5,477.5
01-09-2011,0.45,,,2.8,3,5.25,,5.13,,4.88,4.63,4.88,489.5,,490,492.5
01-10-2011,0.2,,,2.7,2.95,5.25,,5,,4.5,4.5,4.75,507.5,,511.25,508.75
01-11-2011,0.1,,,2.77,3,5.25,,4.88,,4.63,4.5,4.75,508,,507.5,505
