Fecha,Precio del cobre,Precio del petroleo WTI,Spread EMBI Chile,Bono de gobierno a 10 años - EE.UU.
01-01-1996,1.19,18.9,,5.65
01-02-1996,1.15,19.1,,5.8
01-03-1996,1.16,21.3,,6.26
01-04-1996,1.18,23.6,,6.5
01-05-1996,1.21,21.2,,6.73
01-06-1996,0.99,20.4,,6.9
01-07-1996,0.9,21.3,,6.86
01-08-1996,0.91,21.9,,6.63
01-09-1996,0.88,24,,6.83
01-10-1996,0.89,24.9,,6.53
01-11-1996,1.01,23.6,,6.19
01-12-1996,1.03,25.4,,6.29
01-01-1997,1.1,25.2,,6.56
01-02-1997,1.09,22.2,,6.4
01-03-1997,1.1,21,,6.7
01-04-1997,1.08,19.7,,6.87
01-05-1997,1.14,20.8,,6.71
01-06-1997,1.19,19.2,,6.49
01-07-1997,1.11,19.6,,6.22
01-08-1997,1.02,19.9,,6.29
01-09-1997,0.96,19.8,,6.21
01-10-1997,0.93,21.3,,6.02
01-11-1997,0.87,20.1,,5.87
01-12-1997,0.8,18.3,,5.8
01-01-1998,0.77,16.7,,5.54
01-02-1998,0.76,16.1,,5.57
01-03-1998,0.79,15.1,,5.64
01-04-1998,0.82,15.3,,5.63
01-05-1998,0.79,14.9,,5.65
01-06-1998,0.75,13.7,,5.49
01-07-1998,0.75,14.1,,5.45
01-08-1998,0.74,13.4,,5.33
01-09-1998,0.75,15,,4.8
01-10-1998,0.72,14.4,,4.52
01-11-1998,0.71,13,,4.83
01-12-1998,0.67,11.3,,4.64
01-01-1999,0.65,12.5,,4.71
01-02-1999,0.64,12,,5
01-03-1999,0.63,14.7,,5.22
01-04-1999,0.66,17.3,,5.18
01-05-1999,0.69,17.8,192,5.54
01-06-1999,0.65,17.9,188.14,5.89
01-07-1999,0.74,20.1,184.9,5.78
01-08-1999,0.75,21.3,190.64,5.94
01-09-1999,0.79,23.9,186.67,5.9
01-10-1999,0.78,22.6,159.45,6.1
01-11-1999,0.78,24.9,155.8,6.03
01-12-1999,0.8,26.1,145.23,6.27
01-01-2000,0.84,27.3,150,6.65
01-02-2000,0.82,29.4,161.35,6.52
01-03-2000,0.79,29.9,171.43,6.25
01-04-2000,0.76,25.8,199.74,5.98
01-05-2000,0.81,28.8,185.55,6.43
01-06-2000,0.8,31.9,219.68,6.09
01-07-2000,0.82,29.7,224.55,6.04
01-08-2000,0.84,31.3,190.65,5.83
01-09-2000,0.89,33.9,192.05,5.79
01-10-2000,0.86,33.1,216.19,5.74
01-11-2000,0.81,34.4,228.24,5.7
01-12-2000,0.84,28.4,227.8,5.22
01-01-2001,0.81,29.5,211.05,5.15
01-02-2001,0.8,29.6,188.63,5.1
01-03-2001,0.79,27.2,189.73,4.88
01-04-2001,0.75,27.4,176.1,5.14
01-05-2001,0.76,28.6,178.68,5.38
01-06-2001,0.73,27.6,178.29,5.26
01-07-2001,0.69,26.4,176.9,5.21
01-08-2001,0.66,27.5,183.35,4.96
01-09-2001,0.65,26.2,218.47,4.73
01-10-2001,0.62,22.2,226.95,4.55
01-11-2001,0.65,19.6,202.9,4.62
01-12-2001,0.67,19.3,176.3,5.05
01-01-2002,0.68,19.7,174.86,4.99
01-02-2002,0.71,20.7,168.21,4.9
01-03-2002,0.73,24.4,136.05,5.28
01-04-2002,0.72,26.2,125.05,5.2
01-05-2002,0.72,27,139.91,5.14
01-06-2002,0.75,25.5,168.75,4.89
