Fecha,IPSA
01-01-1996,1015.04
01-02-1996,1015.05
01-03-1996,973.45
01-04-1996,1014.05
01-05-1996,993.62
01-06-1996,1039.79
01-07-1996,1015.56
01-08-1996,980.8
01-09-1996,1006.01
01-10-1996,1006.87
01-11-1996,945.86
01-12-1996,900.58
01-01-1997,995.51
01-02-1997,1044.42
01-03-1997,1023.24
01-04-1997,1069.76
01-05-1997,1169.73
01-06-1997,1184.82
01-07-1997,1207.61
01-08-1997,1145.99
01-09-1997,1151.68
01-10-1997,1065.03
01-11-1997,1037.45
01-12-1997,1016.77
01-01-1998,907.31
01-02-1998,1001.46
01-03-1998,1062.64
01-04-1998,995.4
01-05-1998,910.28
01-06-1998,860.86
01-07-1998,902.67
01-08-1998,633.15
01-09-1998,668.99
01-10-1998,732.94
01-11-1998,829.08
01-12-1998,786.66
01-01-1999,810.5
01-02-1999,859.6
01-03-1999,931.65
01-04-1999,939.82
01-05-1999,897.63
01-06-1999,1006.07
01-07-1999,1014.01
01-08-1999,1008.32
01-09-1999,984.23
01-10-1999,987.69
01-11-1999,1058.38
01-12-1999,1125.3
01-01-2000,1151.36
01-02-2000,1106.23
01-03-2000,1129.76
01-04-2000,1074.95
01-05-2000,1124.2
01-06-2000,1108.67
01-07-2000,1074.76
01-08-2000,1123.29
01-09-2000,1109.79
01-10-2000,1060.81
01-11-2000,1086.6
01-12-2000,1084.41
01-01-2001,1138.43
01-02-2001,1096.2
01-03-2001,1062.44
01-04-2001,1105.66
01-05-2001,1208.26
01-06-2001,1169.2
01-07-2001,1201.15
01-08-2001,1239.25
01-09-2001,1071.28
01-10-2001,1121.87
01-11-2001,1192.07
01-12-2001,1183.12
01-01-2002,1153.01
01-02-2002,1144.39
01-03-2002,1163.6
01-04-2002,1137.83
01-05-2002,1099.65
01-06-2002,1031.96
01-07-2002,1039.55
01-08-2002,1022.35
01-09-2002,927.39
01-10-2002,958.51
01-11-2002,960.31
01-12-2002,1000
01-01-2003,1001.99
01-02-2003,1014.94
01-03-2003,1009.13
01-04-2003,1163.96
01-05-2003,1231.01
01-06-2003,1228.12
01-07-2003,1321.38
01-08-2003,1369.62
01-09-2003,1430.49
01-10-2003,1515.96
01-11-2003,1458.34
01-12-2003,1484.8
01-01-2004,1408.86
01-02-2004,1543.08
01-03-2004,1458.9
01-04-2004,1430.6
01-05-2004,1428.8
01-06-2004,1482.98
01-07-2004,1520.85
01-08-2004,1631.41
01-09-2004,1707.02
01-10-2004,1768.2
01-11-2004,1790.47
01-12-2004,1796.48
01-01-2005,1809.88
01-02-2005,1895.2
01-03-2005,1961.69
01-04-2005,1956.98
01-05-2005,1968.78
01-06-2005,2056.84
01-07-2005,2175.06
01-08-2005,2086.25
01-09-2005,2152.82
01-10-2005,2072.64
01-11-2005,2027.61
01-12-2005,1964.47
01-01-2006,2118.46
01-02-2006,2166.84
01-03-2006,2181.96
01-04-2006,2201.56
01-05-2006,2156.53
01-06-2006,2126.02
01-07-2006,2131.58
01-08-2006,2206.37
01-09-2006,2280.48
01-10-2006,2380.26
01-11-2006,2559.67
01-12-2006,2693.36
01-01-2007,2895.28
01-02-2007,2811.62
01-03-2007,2929
01-04-2007,3161.22
01-05-2007,3279.53
01-06-2007,3470.18
01-07-2007,3340.43
01-08-2007,3310.14
01-09-2007,3249
01-10-2007,3451.18
01-11-2007,3204.47
01-12-2007,3051.83
01-01-2008,2788.34
01-02-2008,2836.83
01-03-2008,2902.02
01-04-2008,2989.41
01-05-2008,3048.85
01-06-2008,2999.9
01-07-2008,3014.8
01-08-2008,2895.21
01-09-2008,2753.31
01-10-2008,2489.59
01-11-2008,2406.26
01-12-2008,2376.42
01-01-2009,2549.46
01-02-2009,2468.63
01-03-2009,2478.94
01-04-2009,2670.78
01-05-2009,3100.42
01-06-2009,3090.5
01-07-2009,3226.2
01-08-2009,3175.18
01-09-2009,3372.87
01-10-2009,3314.45
01-11-2009,3255.32
01-12-2009,3581.42
01-01-2010,3808.96
01-02-2010,3827.44
01-03-2010,3763.12
01-04-2010,3865.45
01-05-2010,3886.86
01-06-2010,4065.29
01-07-2010,4364.15
01-08-2010,4525.01
01-09-2010,4795.38
01-10-2010,4912.53
01-11-2010,4956.96
01-12-2010,4927.53
01-01-2011,4673.07
01-02-2011,4444.57
01-03-2011,4624.47
01-04-2011,4822.5
01-05-2011,4847.87
01-06-2011,4795.28
01-07-2011,4425.98
01-08-2011,4288.35
01-09-2011,3888.58
01-10-2011,4327.25
01-11-2011,4161.29
01-12-2011,4177.53
01-01-2012,4260.76
01-02-2012,4535.6
01-03-2012,4671.28
01-04-2012,4585.77
01-05-2012,4318.16
01-06-2012,4400.1
01-07-2012,4227.56
01-08-2012,4155.68
01-09-2012,4230.42
01-10-2012,4266.35
01-11-2012,4139.99
01-12-2012,4301.38
01-01-2013,4552.4
01-02-2013,4558.46
01-03-2013,4432.14
01-04-2013,4292.14
01-05-2013,4191.26
01-06-2013,4029.67
01-07-2013,3732.54
01-08-2013,3628.73
01-09-2013,3823.85
01-10-2013,3912.44
01-11-2013,3789.06
01-12-2013,3699.19
01-01-2014,3439.41
01-02-2014,3718.88
01-03-2014,3772.76
01-04-2014,3909.64
01-05-2014,3903.81
01-06-2014,3875.73
01-07-2014,3875.44
01-08-2014,3996.64
01-09-2014,3943.56
01-10-2014,3850.97
01-11-2014,3991.78
01-12-2014,3850.96
01-01-2015,3836.73
01-02-2015,3983.72
01-03-2015,3916.92
01-04-2015,4043.45
01-05-2015,4045.62
01-06-2015,3897.1
01-07-2015,3870.35
01-08-2015,3840.21
01-09-2015,3685.18
01-10-2015,3827.99
01-11-2015,3655.3
01-12-2015,3680.21
01-01-2016,3705.92
01-02-2016,3715.84
01-03-2016,3937.49
01-04-2016,4002.07
01-05-2016,3934.71
01-06-2016,3995.91
01-07-2016,4117.47
01-08-2016,4119.28
01-09-2016,4015.25
01-10-2016,4289.78
01-11-2016,4207.24
01-12-2016,4151.39
01-01-2017,4199.5
01-02-2017,4359.88
01-03-2017,4783.42
01-04-2017,4795.13
01-05-2017,4855.75
01-06-2017,4747.24
01-07-2017,5064.63
01-08-2017,5153.15
01-09-2017,5341.93
01-10-2017,5588.08
01-11-2017,5003.4
01-12-2017,5564.6
01-01-2018,5855.38
01-02-2018,5602.83
01-03-2018,5542.22
01-04-2018,5710.9
01-05-2018,5455.09
01-06-2018,5301.25
01-07-2018,5434.44
01-08-2018,5270.44
01-09-2018,5283.53
01-10-2018,5104.33
01-11-2018,5111.88
01-12-2018,5105.43
01-01-2019,5405.61
01-02-2019,5287.54
01-03-2019,5259.41
01-04-2019,5187.1
01-05-2019,4977.09
01-06-2019,5070.72
01-07-2019,4972.36
01-08-2019,4804.37
01-09-2019,5059.04
01-10-2019,4744.13
01-11-2019,4538.8
01-12-2019,4669.85
01-01-2020,4572.06
01-02-2020,4122.63
01-03-2020,3487.49
01-04-2020,3977.56
01-05-2020,3647.6
01-06-2020,3959.02
01-07-2020,4017.08
01-08-2020,3767.15
01-09-2020,3637.3
01-10-2020,3539.92
01-11-2020,4032.87
01-12-2020,4177.22
01-01-2021,4288.65
01-02-2021,4573.37
01-03-2021,4898.09
01-04-2021,4472.84
01-05-2021,4356.43
01-06-2021,4331.33
01-07-2021,4252.04
01-08-2021,4491.57
01-09-2021,4362.59
01-10-2021,4092.2
