Fecha,IPC General,IPC SAE,IPC sin volátiles
01-01-1996,7.8,7.4,7.4
01-02-1996,7.8,7.7,7.62
01-03-1996,7.9,7.6,8.08
01-04-1996,8.4,7.6,8.11
01-05-1996,8.6,7.4,8.74
01-06-1996,8.3,7.4,9.06
01-07-1996,7.7,7.6,9.17
01-08-1996,6.4,7.1,8.72
01-09-1996,6.3,6.9,8.43
01-10-1996,6.2,7,8.33
01-11-1996,6.6,6.9,8.23
01-12-1996,6.6,7,8.21
01-01-1997,6.9,6.5,7.76
01-02-1997,7.2,6,7.5
01-03-1997,6.8,6.1,7.18
01-04-1997,6.1,5.8,6.86
01-05-1997,5.4,5.6,5.97
01-06-1997,5.3,5.6,5.67
01-07-1997,5.6,5.6,5.6
01-08-1997,5.6,5.4,5.38
01-09-1997,6,5.4,5.43
01-10-1997,6.6,5.1,5.36
01-11-1997,6.3,4.9,5.36
01-12-1997,6,5.1,5.59
01-01-1998,6.2,5.6,5.93
01-02-1998,5.2,5.6,5.8
01-03-1998,5.3,5.7,5.94
01-04-1998,5.4,6.6,5.86
01-05-1998,5.3,7.1,6.1
01-06-1998,5.4,7,6.03
01-07-1998,5.3,7,6
01-08-1998,5.2,7.1,6.08
01-09-1998,4.8,7.1,6.11
01-10-1998,4.3,7.4,6.83
01-11-1998,4.3,7.5,6.85
01-12-1998,4.7,7.6,6.55
01-01-1999,3.6,7,6
01-02-1999,3.8,6.7,5.89
01-03-1999,4.1,6.6,5.77
01-04-1999,4,5.6,5.8
01-05-1999,4,5,5.18
01-06-1999,3.8,4.8,4.86
01-07-1999,3.4,4.3,4.39
01-08-1999,3.2,4,4.15
01-09-1999,2.9,3.8,3.69
01-10-1999,2.5,3.3,2.74
01-11-1999,2.6,3,2.38
01-12-1999,2.3,2.2,2
01-01-2000,2.8,2.2,2.18
01-02-2000,3.3,2.9,2.36
01-03-2000,3.4,3,2.41
01-04-2000,3.5,2.9,2.37
01-05-2000,3.6,2.8,2.55
01-06-2000,3.7,2.9,2.61
01-07-2000,3.8,2.9,2.61
01-08-2000,3.9,3.2,2.45
01-09-2000,4.2,3.5,2.63
01-10-2000,4.5,3.6,2.71
01-11-2000,4.7,3.9,3.05
01-12-2000,4.5,4.1,3.25
01-01-2001,4.7,4.2,3.15
01-02-2001,3.8,3.3,2.67
01-03-2001,3.5,3,2.63
01-04-2001,3.5,2.9,2.39
01-05-2001,3.7,3,2.18
01-06-2001,3.6,3,2.18
01-07-2001,3.2,3.5,2.29
01-08-2001,3.8,3.5,2.79
01-09-2001,3.9,3.4,2.94
01-10-2001,3.4,3.8,3.12
01-11-2001,3.1,3.5,2.87
01-12-2001,2.6,3.1,2.53
01-01-2002,2.2,3,2.51
01-02-2002,2.5,3.3,2.7
01-03-2002,2.6,3.3,2.41
01-04-2002,2.5,3.1,2.5
01-05-2002,2.1,3.1,2.68
01-06-2002,2,2.9,2.45
