Fecha,TPM,Tasas BCP 2 años,Tasas BCP 5 años,Tasas BCP 10 años,Tasas BCU 2 años,Tasas BCU 5 años,Tasas BCU 10 años
01-01-1996,6.7,,,,,,
01-02-1996,6.7,,,,,,
01-03-1996,6.7,,,,,,
01-04-1996,7.31,,,,,,
01-05-1996,7.5,,,,,,
01-06-1996,7.5,,,,,,
01-07-1996,7.5,,,,,,
01-08-1996,7.5,,,,,,
01-09-1996,7.5,,,,,,
01-10-1996,7.5,,,,,,
01-11-1996,7.5,,,,,,
01-12-1996,7.5,,,,,,
01-01-1997,7.5,,,,,,
01-02-1997,7.31,,,,,,
01-03-1997,7.25,,,,,,
01-04-1997,7.1,,,,,,
01-05-1997,7,,,,,,
01-06-1997,6.8,,,,,,
01-07-1997,6.75,,,,,,
01-08-1997,6.75,,,,,,
01-09-1997,6.53,,,,,,
01-10-1997,6.5,,,,,,
01-11-1997,6.5,,,,,,
01-12-1997,6.5,,,,,,
01-01-1998,6.88,,,,,,
01-02-1998,8.35,,,,,,
01-03-1998,8.5,,,,,,
01-04-1998,8.5,,,,,,
01-05-1998,8.5,,,,,,
01-06-1998,8.5,,,,,,
01-07-1998,8.5,,,,,,
01-08-1998,8.5,,,,,,
01-09-1998,10.98,,,,,,
01-10-1998,12.76,,,,,,
01-11-1998,9.81,,,,,,
01-12-1998,8.33,,,,,,
01-01-1999,7.72,,,,,,
01-02-1999,7.25,,,,,,
01-03-1999,7.22,,,,,,
01-04-1999,6.57,,,,,,
01-05-1999,6.1,,,,,,
01-06-1999,5.54,,,,,,
01-07-1999,5,,,,,,
01-08-1999,5,,,,,,
01-09-1999,5,,,,,,
01-10-1999,5,,,,,,
01-11-1999,5,,,,,,
01-12-1999,5,,,,,,
01-01-2000,5.02,,,,,,
01-02-2000,5.25,,,,,,
01-03-2000,5.37,,,,,,
01-04-2000,5.5,,,,,,
01-05-2000,5.5,,,,,,
01-06-2000,5.5,,,,,,
01-07-2000,5.5,,,,,,
01-08-2000,5.43,,,,,,
01-09-2000,5,,,,,,
01-10-2000,5,,,,,,
01-11-2000,5,,,,,,
01-12-2000,5,,,,,,
01-01-2001,4.9,,,,,,
01-02-2001,4.68,,,,,,
01-03-2001,4.05,,,,,,
01-04-2001,3.84,,,,,,
01-05-2001,3.75,,,,,,
01-06-2001,3.59,,,,,,
01-07-2001,3.5,,,,,,
01-08-2001,6.5,,,,,,
01-09-2001,6.5,,,,,,
01-10-2001,6.5,,,,,,
01-11-2001,6.5,,,,,,
01-12-2001,6.5,,,,,,
01-01-2002,6.16,,,,,,
01-02-2002,5.83,,,,,,
01-03-2002,5.05,,,,,,
