Fecha,ICE,ICE (m3),ICE Agrícola,ICE Comercio,ICE Construcción,ICE Financiero,ICE Industria,ICE Minería
01-07-2003,8,,,19,2,,16,
01-10-2003,22.7,,,14,37,,33,47
01-01-2004,20.8,,,16,35,,27,44
01-04-2004,9.8,,,19,21,,8,11
01-07-2004,5.8,,,8,25,,-3,14
01-10-2004,9.8,,,9,28,,7,21
01-12-2004,8.9,,,13,29,,3,14
01-01-2005,14.8,,,11,31,,23,20
01-02-2005,9.5,11.04,,26,2,,9,15
01-03-2005,13.2,12.48,,18,34,,16,10
01-04-2005,11.6,11.43,,34,24,,4,9
01-05-2005,15.1,13.3,,9,33,17,12,17
01-06-2005,17.6,14.76,,18,21,52,5,-5
01-07-2005,17.7,16.78,23,17,25,5,28,9
01-08-2005,21.7,18.99,26,16,33,30,20,9
01-09-2005,18.5,19.29,17,20,17,38,7,12
01-10-2005,16.6,18.94,-6,19,10,36,11,15
01-11-2005,17.6,17.58,-39,36,23,28,9,19
01-12-2005,11.8,15.34,-13,16,7,26,9,8
01-01-2006,11.1,13.51,-30,9,19,28,8,8
01-02-2006,15.8,12.91,-23,18,-1,39,10,27
01-03-2006,16.2,14.37,-4,6,19,39,14,7
01-04-2006,13,15.01,-7,0,26,30,-3,35
01-05-2006,6.4,11.87,-13,-10,-9,34,-6,36
01-06-2006,1.7,7.05,-12,-11,2,14,-2,15
01-07-2006,5.5,4.55,-24,-22,8,27,9,15
01-08-2006,4.1,3.79,-7,1,5,24,-16,24
01-09-2006,1,3.56,1,-14,22,5,-9,16
01-10-2006,9.8,4.99,-8,7,40,12,-5,21
01-11-2006,0.6,3.82,-30,-5,20,19,-5,-11
01-12-2006,0.8,3.74,-27,-2,13,18,-7,-2
01-01-2007,4.8,2.07,-15,7,22,23,-4,-15
01-02-2007,3.5,3.03,-14,19,-2,24,-2,-22
01-03-2007,11.1,6.46,-31,18,1,34,11,0
01-04-2007,4.4,6.33,0,-19,0,25,-8,35
01-05-2007,2.5,6.01,-25,-11,2,24,-13,35
01-06-2007,3.1,3.34,-19,-7,14,20,-4,6
01-07-2007,1.7,2.42,-34,-19,18,41,-14,3
01-08-2007,-1.4,1.11,-39,-12,9,16,-7,8
01-09-2007,2.5,0.91,-26,-8,8,26,-16,28
01-10-2007,-2.2,-0.38,-52,-14,8,36,-23,13
01-11-2007,0.6,0.27,-6,-23,10,24,-9,10
01-12-2007,3.1,0.49,-5,5,-2,22,-10,8
01-01-2008,2.4,2.02,-26,10,-2,29,-17,9
01-02-2008,-2,1.17,-28,-7,-4,22,-16,13
01-03-2008,-6,-1.86,-17,-10,-9,11,-10,-8
01-04-2008,-3.5,-3.81,-34,-10,5,8,-12,12
01-05-2008,-3.7,-4.37,-27,-3,2,14,-20,7
01-06-2008,-3,-3.38,-43,4,7,20,-21,2
01-07-2008,-16.9,-7.84,-24,-16,-43,4,-23,-10
01-08-2008,-4.5,-8.09,-20,-11,-7,15,-8,-7
01-09-2008,-6.2,-9.19,-15,2,-19,19,-20,-12
01-10-2008,-20.2,-10.3,-36,-21,-28,10,-37,-17
01-11-2008,-20.9,-15.79,-13,-32,-12,-2,-34,-22
01-12-2008,-27.9,-23.02,-18,-34,-29,-8,-36,-38
01-01-2009,-29.2,-26.01,-24,-24,-35,-9,-40,-43
01-02-2009,-37,-31.37,-16,-43,-38,-12,-51,-50
01-03-2009,-34.2,-33.46,-13,-29,-36,-24,-49,-37
01-04-2009,-24.1,-31.74,-8,-24,-26,-8,-42,-20
01-05-2009,-21,-26.43,-10,-29,-17,-5,-36,-16
01-06-2009,-16.7,-20.59,3,-13,-12,-3,-38,-17
01-07-2009,-16.9,-18.22,-17,-11,-18,0,-35,-13
01-08-2009,4.1,-9.85,1,-2,20,11,-4,5
01-09-2009,7.6,-1.76,22,4,16,13,-1,5
01-10-2009,14,8.57,20,14,31,20,3,7
01-11-2009,9.5,10.38,20,9,12,22,-5,11
01-12-2009,8.7,10.73,-22,13,5,24,-1,19
01-01-2010,13.1,10.42,5,14,13,25,8,8
01-02-2010,11.4,11.04,30,19,19,22,-4,-3
01-03-2010,3.9,9.44,22,-10,19,6,-2,6
01-04-2010,13.7,9.63,33,17,16,12,9,8
01-05-2010,16.1,11.2,32,16,22,21,5,15
01-06-2010,16.5,15.43,34,23,38,25,-3,3
01-07-2010,26.4,19.66,20,34,32,26,15,36
01-08-2010,24.6,22.51,42,45,22,28,9,17
01-09-2010,23.9,24.96,38,39,14,32,13,16
01-10-2010,26.1,24.86,31,31,32,33,11,31
01-11-2010,26.6,25.51,17,34,25,25,19,41
01-12-2010,26.5,26.38,27,36,44,26,15,20
01-01-2011,27,26.7,22,27,51,33,14,24
01-02-2011,21.4,24.97,10,26,27,35,12,13
01-03-2011,23.8,24.08,9,36,31,32,12,21
01-04-2011,21.4,22.21,2,30,58,27,6,8
01-05-2011,21.7,22.31,25,35,43,27,6,4
01-06-2011,14.7,19.27,-8,31,58,18,-8,3
01-07-2011,12.4,16.24,-14,30,35,5,1,16
01-08-2011,11.9,12.96,-10,21,18,10,5,21
01-09-2011,0,8.08,-15,-3,17,7,-8,2
01-10-2011,-1.9,3.33,4,1,-1,5,-13,3
01-11-2011,5,1.04,24,-8,16,3,4,4
01-12-2011,0.2,1.12,5,0,-1,1,-3,6
01-01-2012,5.4,3.54,10,-10,4,10,9,9
01-02-2012,11.4,5.67,6,9,20,17,12,-2
01-03-2012,12.2,9.66,13,11,18,18,3,18
01-04-2012,16.6,13.41,8,10,23,15,21,19
01-05-2012,11.9,13.57,4,13,28,13,10,2
01-06-2012,4.2,10.91,-9,8,16,-1,14,-18
01-07-2012,10.3,8.81,-5,1,27,8,16,8
01-08-2012,14.8,9.79,-13,11,23,11,27,8
01-09-2012,13.5,12.89,7,-18,29,-4,35,28
01-10-2012,17.6,15.31,15,6,41,10,32,-5
01-11-2012,20.1,17.07,8,14,22,12,41,4
01-12-2012,12.6,16.75,10,6,36,10,16,-3
01-01-2013,8.7,13.8,6,8,4,9,15,3
01-02-2013,17.4,12.89,16,3,34,17,24,9
01-03-2013,14.5,13.54,3,15,54,11,6,3
01-04-2013,5.3,12.4,10,9,3,12,-1,1
01-05-2013,2.6,7.45,-14,2,22,7,-4,1
01-06-2013,-3.2,1.54,-24,-10,26,0,-1,-20
01-07-2013,-5.3,-1.99,9,-13,0,-7,-5,-7
01-08-2013,-8,-5.53,11,5,1,8,-36,-13
01-09-2013,0,-4.46,-15,-13,2,12,2,1
01-10-2013,-2.4,-3.49,-35,3,-1,12,2,-23
01-11-2013,-10.7,-4.38,-35,-29,-1,-6,-10,9
01-12-2013,-19.9,-11.01,-18,-54,-31,4,-17,-7
01-01-2014,-2.4,-11.09,-8,-23,1,11,4,-11
01-02-2014,-18.3,-12.93,-30,-20,1,-26,-10,-18
01-03-2014,-12.2,-9.86,-3,-19,-16,5,-17,-12
01-04-2014,-25,-16.6,-31,-47,-25,7,-32,-11
01-05-2014,-17.8,-14.22,-27,-16,-14,10,-17,0
01-06-2014,-25.2,-17.63,-12,-41,-30,-5,-28,-2
01-07-2014,-29.5,-17.89,-45,-61,-40,3,-17,-1
01-08-2014,-22.1,-20.35,-19,-35,-31,-3,-16,2
01-09-2014,-28.8,-20.76,-20,-49,-17,-7,-30,-1
01-10-2014,-18.1,-16.28,-28,-17,-2,-1,-18,1
01-11-2014,-20.5,-13.57,-33,-23,-1,-3,-2,-1
01-12-2014,-17.2,-8.96,-2,-31,0,0,-12,3
01-01-2015,-21.1,-10.13,-1,-36,1,2,-30,3
01-02-2015,-30.3,-9.24,-17,-14,2,1,-10,4
01-03-2015,-19.7,-11.41,-28,1,-12,-2,-42,3
01-04-2015,-9.6,-6.76,-38,2,20,4,-3,1
01-05-2015,-12.5,-6.97,-28,2,-14,11,-18.9,1
01-06-2015,-20.7,-4.33,-59.8,1.2,2.3,6.3,-16.5,0.7
01-07-2015,-36.2,-7.23,-21.4,1.08,-14.5,-1.1,-18.2,0.4
01-08-2015,-27.1,-5.56,-30.4,1.09,8.9,-2.3,0.1,0.7
01-09-2015,-15.1,-4.35,-52.2,1.13,2.7,-1.1,0.3,0.7
01-10-2015,-7.7,-2.55,-48,1.63,1.1,0,0.2,0.3
01-11-2015,-8.8,-2.93,-10.1,1.02,-21.4,1.3,0.8,3.9
01-12-2015,-6.1,-2.11,-15,2.45,1,-2.5,0.1,0.9
01-01-2016,-11,-8.62,-40.1,1.54,-0.6,-5.5,0.3,1.7
01-02-2016,-8.2,-8.44,-19.8,1.44,3.1,-2.3,1.3,-0.1
01-03-2016,-11.4,-10.2,-47.9,0.3,2.8,-0.5,1.2,1.3
01-04-2016,-11.6,-10.4,-30.3,1.8,-0.6,-1.1,0.9,1.1
01-05-2016,-22,-15.01,-20.2,1.2,-21.5,-2.8,1,0.9
01-06-2016,-13.1,-15.59,-6.9,1.4,8.9,-2.8,0.7,1.2
01-07-2016,-20.9,-18.68,-34.5,0.4,0.4,-1.2,0.5,-1.4
01-08-2016,-36.3,-23.45,-52,1.6,-5,-1.1,-0.9,-2.5
01-09-2016,-16.2,-24.47,-25.1,3,-0.1,-2,1.7,-2.3
01-10-2016,-19.4,-23.96,-26.1,0.5,1.9,-1.7,0.3,0.4
01-11-2016,-8.3,-14.63,-12.2,0.6,1.7,1.1,-0.1,-2.5
01-12-2016,-9.6,-12.45,-17.3,1.9,2.7,0.4,0.7,1.7
01-01-2017,-14.59,-10.85,-19.77,-0.33,2.5,-1.82,1.25,-0.2
01-02-2017,-8.71,-10.98,-16.57,0.71,2.02,-0.76,0.68,-1.93
01-03-2017,-14.12,-12.47,-20.88,1.01,0,-1.14,-0.68,-1.04
01-04-2017,-10.01,-10.95,-11.34,1.92,-0.45,0,-6.22,1.54
01-05-2017,-11.61,-11.91,-29.17,1.61,-0.12,0,-19.01,0.84
01-06-2017,-4.75,-8.79,-13.43,1.3,-0.1,9.09,-19.09,0.64
01-07-2017,-6.89,-7.75,-15.28,6.68,-0.23,6.06,-19.11,-22.4
01-08-2017,-3.41,-5.01,-6.71,6.1,-18.37,16.88,-8.57,-20.9
01-09-2017,-1.04,-3.78,21.8,6,0.3,18.2,-18.8,-18.4
01-10-2017,-5.07,-3.17,9.3,6.6,-6.9,6.1,-18.9,-16.2
01-11-2017,-4.55,-3.56,-11.11,1.6,22.6,-1.3,-22.08,-5.31
01-12-2017,-2.93,-4.19,-1.85,6.72,12.33,4.55,-17.51,-13.54
01-01-2018,8,0.16,37.8,1.4,25.9,18.2,-3.4,-10.2
01-02-2018,4.5,3.18,2.8,6.4,10.5,9.1,1.5,-3.9
01-03-2018,3.8,5.44,-9.3,2.1,35.1,14.5,-16.7,7.7
01-04-2018,13.4,7.24,-2.8,12.2,36,25.9,8.1,-7.1
01-05-2018,14.5,10.58,-1.9,18.5,37.5,26.7,0.9,4.3
01-06-2018,8.3,12.07,-8.3,15.6,38.3,-4.5,1.3,12.7
01-07-2018,6.4,9.73,11.1,4,-13.4,3,25.6,-7.7
01-08-2018,14.5,9.73,5.6,11,38.8,15.2,14.6,-0.9
01-09-2018,7.3,9.37,13.9,-15.5,27.3,-4.5,26.7,-6.5
01-10-2018,-3.4,6.11,8.3,5,1.7,-3,-16.1,-1.2
01-11-2018,3.3,2.39,-16.7,8.7,16,-6.1,2.1,12.1
01-12-2018,-5.1,-1.73,-22.2,-16.6,9.8,-6.1,-9.1,15
01-01-2019,4.16,0.8,-7,12.9,7.2,18.8,-3.1,-1.5
01-02-2019,3.97,1.01,-4.4,6.7,16.4,12.5,-3.8,0.3
01-03-2019,-0.6,2.51,-28.4,-2.1,10.2,2.1,-10.3,10.1
01-04-2019,4.6,2.65,-25.3,6.8,15.9,-6.3,1.5,12.2
01-05-2019,-2.9,0.35,-11,8.8,20.4,-43.8,-15.2,7
01-06-2019,-8.3,-2.24,-11.6,6.6,18.9,-40.6,-24.1,-5.2
01-07-2019,-1.5,-4.25,-20.3,5.8,12.4,-12.5,-7.8,0.8
01-08-2019,-8.3,-6.03,-30.2,6.7,9.5,-40.6,-16.7,-1.9
01-09-2019,2.7,-2.35,4.3,6.5,22,7.5,-2.2,-9.7
01-10-2019,-3.8,-3.13,-32.4,9.1,5.4,10.6,-7.8,-15
01-11-2019,-30.1,-10.41,-65.8,-2.9,-33.4,-68.8,-25.1,-28.6
01-12-2019,-24.6,-19.5,-36.7,1.1,-24.6,-68.8,-36.7,-10.1
01-01-2020,-22.3,-25.68,-38.7,4.7,-34.9,-56.3,-27.3,-12.3
01-02-2020,-22.4,-23.09,-23.3,2.5,-31.2,-43.8,-22.9,-27.3
01-03-2020,-25.3,-23.34,-27.4,-5.3,-37.3,-63.3,-9.4,-32.5
01-04-2020,-35.1,-27.59,-62.7,-12.2,-38.4,-56.3,-32.3,-37.7
01-05-2020,-32.5,-30.97,-41.2,-20,-35,-75,-15.8,-36.2
01-06-2020,-49.9,-39.16,-64.5,-43.7,-47.3,-68.8,-21.8,-35.5
01-07-2020,-24.8,-35.74,-33.9,-21.8,-26.7,-37.5,-17.6,-25
01-08-2020,-22.3,-32.32,-41.2,-17.6,-16.8,-37.5,-25.9,-13.6
01-09-2020,-8.1,-18.39,-29.4,2.2,-2.8,-34.4,-6.1,-4
01-10-2020,-5.6,-12,21.1,6.7,-10.8,-28.1,-5.6,-9.5
01-11-2020,-3.9,-5.88,0.6,9.3,-9.1,-18.8,-3.1,-7
01-12-2020,5.4,-1.38,18.8,8.3,2.3,-43.8,21.4,8.2
01-01-2021,1.7,1.05,6.8,8,-21.2,-3.1,13.6,-1.3
01-02-2021,9,5.36,-11.8,10.7,-5.5,25,21.4,1.8
