Fecha,Situación económica personal actual,Situación económica del país actual,Situación económica del país a 12 meses,Situación económica del país a 5 años,Expectativas de consumo de artículos para el hogar,IPEC
01-03-2002,35.0,38.0,51.0,33.0,40.0,37.3
01-04-2002,37.0,36.0,51.0,31.0,36.0,36.3
01-05-2002,38.0,37.0,54.0,33.0,38.0,38.23
01-06-2002,38.0,37.0,49.0,31.0,41.0,37.03
01-07-2002,37.0,36.0,47.0,30.0,44.0,36.52
01-08-2002,33.0,35.0,46.0,36.0,37.0,35.54
01-09-2002,33.0,37.0,47.0,29.0,43.0,35.77
01-10-2002,31.0,36.0,48.0,30.0,43.0,35.48
01-11-2002,31.0,34.0,47.0,33.0,42.0,35.56
01-12-2002,37.0,42.0,60.0,41.0,45.0,42.91
01-01-2003,38.0,44.0,57.0,41.0,49.0,43.9
01-02-2003,38.0,40.0,50.0,33.0,46.0,39.4
01-03-2003,34.0,37.0,41.0,28.0,41.0,34.4
01-04-2003,35.0,38.0,51.0,35.0,50.0,39.9
01-05-2003,41.0,43.0,55.0,39.0,51.0,43.9
01-06-2003,36.0,40.0,53.0,37.0,53.0,41.6
01-07-2003,37.0,38.0,52.0,37.0,49.0,40.7
01-08-2003,36.0,39.0,54.0,39.0,54.0,42.4
01-09-2003,40.0,44.0,58.0,40.0,55.0,45.6
01-10-2003,40.0,47.0,60.0,47.0,56.0,48.0
01-11-2003,41.0,47.0,62.0,43.0,57.0,47.8
01-12-2003,42.0,48.0,64.0,42.0,65.0,50.1
01-01-2004,46.0,53.0,66.0,47.0,68.0,53.9
01-02-2004,46.0,54.0,67.0,48.0,66.0,54.0
01-03-2004,44.0,53.0,63.0,46.0,66.0,52.2
01-04-2004,41.0,50.0,57.0,40.0,63.0,48.1
01-05-2004,41.0,50.0,56.0,40.0,59.0,47.1
01-06-2004,39.0,48.0,58.0,40.0,56.0,46.4
01-07-2004,37.0,46.0,55.0,37.0,62.0,45.3
01-08-2004,39.0,47.0,58.0,41.0,63.0,47.4
01-09-2004,39.0,46.0,55.0,37.0,59.0,45.3
01-10-2004,38.0,49.0,59.0,35.0,57.0,45.4
01-11-2004,40.0,52.0,65.0,42.0,60.0,49.7
01-12-2004,42.0,50.0,61.0,43.0,62.0,49.6
01-01-2005,46.0,56.0,65.0,40.0,68.0,53.0
01-02-2005,46.0,55.0,65.0,41.0,68.0,52.8
01-03-2005,43.0,53.0,61.0,39.0,62.0,49.4
01-04-2005,39.0,50.0,58.0,40.0,63.0,48.1
01-05-2005,40.0,49.0,58.0,38.0,63.0,47.8
01-06-2005,41.0,51.0,58.0,42.0,60.0,48.3
01-07-2005,43.0,49.0,60.0,41.0,61.0,48.8
01-08-2005,43.0,50.0,60.0,45.0,66.0,50.8
01-09-2005,42.0,50.0,61.0,41.0,64.0,49.7
01-10-2005,41.0,53.0,60.0,38.0,63.0,49.6
01-11-2005,42.0,53.0,63.0,45.0,63.0,51.9
01-12-2005,43.0,57.0,65.0,46.0,67.0,54.5
01-01-2006,48.0,61.0,70.0,48.0,69.0,58.5
01-02-2006,47.0,58.0,69.0,51.0,65.0,57.5
01-03-2006,47.0,61.0,70.0,50.0,71.0,59.3
01-04-2006,45.0,58.0,66.0,41.0,69.0,55.6
01-05-2006,44.0,55.8,62.0,44.0,69.0,54.8
01-06-2006,40.0,49.0,55.0,37.0,61.0,48.2
01-07-2006,42.0,48.0,53.0,36.0,64.0,48.5
01-08-2006,38.0,47.0,53.0,34.0,62.0,46.7
01-09-2006,45.0,49.0,56.0,37.0,62.0,49.9
01-10-2006,40.0,49.0,56.0,36.0,64.0,48.8
01-11-2006,42.0,50.0,57.0,38.0,63.0,49.8
01-12-2006,44.0,54.0,62.0,44.0,66.0,54.1
01-01-2007,45.0,52.0,60.0,37.0,66.0,52.0
01-02-2007,43.0,50.0,58.0,36.0,66.0,50.4
01-03-2007,43.0,46.0,53.0,37.0,64.0,48.4
01-04-2007,44.9,47.2,54.6,36.8,63.8,49.4
01-05-2007,41.0,46.0,51.0,35.0,61.0,46.7
01-06-2007,40.0,45.0,51.0,34.0,61.0,46.2
01-07-2007,37.0,45.0,50.0,31.0,55.0,43.3
01-08-2007,32.0,43.0,47.0,32.0,54.0,41.6
01-09-2007,35.9,42.2,47.6,34.6,51.2,42.3
01-10-2007,32.5,41.3,47.7,31.3,54.6,41.5
01-11-2007,35.4,42.3,49.7,33.3,56.5,43.4
01-12-2007,43.1,47.0,53.8,35.7,60.9,48.1
01-01-2008,37.1,47.3,51.3,31.1,57.8,44.9
01-02-2008,37.1,46.0,47.0,29.2,59.1,43.7
01-03-2008,36.0,44.0,48.0,26.0,53.0,41.4
01-04-2008,32.0,40.2,45.0,25.0,52.6,38.9
01-05-2008,30.0,40.5,42.0,24.6,45.6,36.5
01-06-2008,27.8,35.6,38.7,25.3,39.7,33.4
01-07-2008,24.4,33.0,39.7,26.1,34.7,31.6
01-08-2008,25.4,31.6,39.6,29.7,32.6,31.7
01-09-2008,28.5,34.8,41.1,29.8,39.0,34.6
01-10-2008,27.8,38.5,42.4,31.7,32.2,34.5
01-11-2008,24.3,38.5,41.3,32.0,31.6,33.5
01-12-2008,29.8,42.4,42.2,27.9,34.6,35.4
01-01-2009,27.1,41.4,43.1,34.1,37.7,36.7
01-02-2009,29.7,40.8,41.6,32.3,37.9,36.4
01-03-2009,28.2,39.8,45.2,33.6,34.0,36.1
01-04-2009,26.2,40.4,47.8,32.9,34.5,36.3
01-05-2009,30.0,43.1,50.8,35.5,35.9,39.0
01-06-2009,28.0,44.3,54.5,37.2,38.0,40.4
01-07-2009,29.9,42.9,55.1,38.0,39.1,41.0
01-08-2009,32.1,46.2,60.9,39.8,44.0,44.6
01-09-2009,37.7,53.5,63.5,40.3,48.5,48.7
01-10-2009,42.3,55.9,64.3,46.4,53.1,52.3
01-11-2009,42.1,54.1,63.8,45.0,57.5,52.5
01-12-2009,41.5,55.6,66.2,46.9,60.1,54.0
01-01-2010,46.5,58.2,67.5,48.3,61.3,56.4
01-02-2010,47.5,59.6,68.0,48.8,60.6,56.9
01-03-2010,37.3,49.4,61.3,46.5,37.9,46.5
01-04-2010,38.6,49.0,62.8,45.5,45.6,48.3
01-05-2010,39.1,48.6,60.2,40.2,47.8,47.2
01-06-2010,42.5,49.6,59.1,38.3,50.3,47.9
01-07-2010,36.7,47.1,56.8,35.3,49.5,45.1
01-08-2010,39.7,49.8,62.2,40.0,55.5,49.4
01-09-2010,44.6,55.2,67.0,40.9,61.2,53.8
01-10-2010,46.4,57.0,66.0,45.6,67.4,56.5
01-11-2010,45.4,55.0,63.2,41.2,63.6,53.7
01-12-2010,42.5,52.2,63.7,38.2,64.4,52.2
01-01-2011,44.7,53.4,60.3,37.4,62.8,51.7
01-02-2011,39.4,49.4,54.0,32.8,59.2,46.9
01-03-2011,39.3,49.3,54.8,35.8,54.2,46.7
01-04-2011,38.9,48.5,53.9,33.2,55.5,46.0
01-05-2011,39.0,49.9,52.4,35.7,59.1,47.2
01-06-2011,35.9,44.1,49.4,35.1,56.1,44.1
01-07-2011,36.6,45.7,52.2,34.2,55.1,44.7
01-08-2011,37.7,44.4,46.3,28.1,53.4,42.0
01-09-2011,38.3,49.9,52.1,32.1,57.2,45.9
01-10-2011,36.7,46.0,48.2,31.0,52.4,42.8
01-11-2011,38.9,48.5,52.0,32.2,58.5,46.0
01-12-2011,38.0,50.0,49.7,28.8,57.8,44.8
01-01-2012,45.6,54.2,52.5,30.6,60.7,48.7
01-02-2012,44.6,53.2,53.5,35.0,61.6,49.6
01-03-2012,42.1,46.6,49.7,35.4,57.2,46.2
01-04-2012,42.0,47.2,50.6,34.7,58.4,46.5
01-05-2012,44.4,51.0,55.0,36.4,57.0,48.7
01-06-2012,45.4,55.5,54.7,40.2,55.9,50.3
01-07-2012,45.5,54.9,55.8,37.1,58.8,50.4
01-08-2012,45.5,55.4,57.6,40.0,63.6,52.4
01-09-2012,47.2,56.7,58.8,41.3,64.1,53.6
01-10-2012,44.4,55.1,57.9,43.9,62.4,52.7
01-11-2012,45.7,55.1,59.1,43.0,64.1,53.4
01-12-2012,53.3,61.9,63.6,40.4,71.5,58.1
01-01-2013,50.9,60.8,63.5,45.4,69.4,58.0
01-02-2013,52.7,61.8,63.2,44.2,68.7,58.1
01-03-2013,51.2,59.0,62.8,45.4,65.7,56.8
01-04-2013,53.2,63.3,64.4,47.0,68.4,59.2
01-05-2013,46.3,60.0,59.1,44.0,66.8,55.2
01-06-2013,47.2,55.6,57.1,40.4,64.8,53.0
01-07-2013,46.7,54.4,54.8,34.6,63.0,50.7
01-08-2013,42.9,52.2,55.7,37.7,63.7,50.4
01-09-2013,48.9,57.3,59.8,40.8,66.3,54.6
01-10-2013,47.4,58.3,61.0,39.6,63.6,54.0
01-11-2013,50.0,59.0,60.2,43.2,67.3,55.9
01-12-2013,49.9,62.3,61.8,41.5,67.6,56.6
01-01-2014,49.0,59.3,59.7,39.3,66.0,54.6
01-02-2014,48.6,60.1,61.8,37.8,63.6,54.3
01-03-2014,46.9,60.4,62.0,37.1,60.8,53.4
01-04-2014,47.0,56.8,59.7,36.8,62.7,52.6
01-05-2014,42.3,53.3,58.5,38.7,59.0,50.3
01-06-2014,42.4,51.2,57.6,36.3,58.8,49.2
01-07-2014,42.1,49.3,55.3,35.2,55.8,47.5
01-08-2014,35.7,46.1,50.2,33.8,49.9,43.1
01-09-2014,40.8,45.3,50.5,29.8,46.5,42.5
01-10-2014,39.6,43.4,51.7,31.2,49.8,43.1
01-11-2014,35.6,42.6,49.3,31.7,46.2,41.1
