Fecha,IMCE Comercio,IMCE Construcción,IMCE Industria,IMCE Minería,IMCE Total,IMCE Sin Minería
2003-11-01,65.92,41.91,53.01,65.08,56.5,54.5
2003-12-01,64.73,55.28,51.5,68.79,58.8,56.47
2004-01-01,65.83,53.49,57.05,73.42,61.7,58.97
2004-02-01,67.52,51.88,57.1,77.64,62.64,59.15
2004-03-01,65.06,53.03,57.77,75.84,62.15,58.96
2004-04-01,65.42,51.02,55.72,66,59.24,57.67
2004-05-01,62.66,51.1,53.61,70.46,58.61,55.85
2004-06-01,63.47,51.59,53.48,77.9,60.26,56.16
2004-07-01,62.84,55.63,55.62,56.21,57.55,57.86
2004-08-01,63.11,57.87,55.07,74.47,61.28,58.21
2004-09-01,63.5,64.29,56.68,73.84,63.04,60.53
2004-10-01,64.51,66.87,54.92,60.43,60.58,60.62
2004-11-01,64.94,69.87,53.17,67.49,61.92,60.63
2004-12-01,64.94,72.06,53.03,64.98,61.8,61.06
2005-01-01,67.31,67.13,56.81,65.48,63,62.42
2005-02-01,66.55,64.9,56.84,76.18,64.43,61.69
2005-03-01,65.71,64.96,56.09,62.52,61.37,61.1
2005-04-01,65.15,64.32,54.74,55.05,59.19,60.16
2005-05-01,63.85,62.39,51.33,64.55,59.02,57.74
2005-06-01,62.24,63.54,53.14,65.62,59.71,58.33
2005-07-01,60.75,59.6,52.61,82.88,61.66,56.73
2005-08-01,62.33,67.04,53.14,76.88,62.5,59.16
2005-09-01,63.4,62.84,55.73,77.04,63,59.73
2005-10-01,62.85,61.47,54.65,77.95,62.37,58.75
2005-11-01,62.16,60,54.23,64.82,59.29,58.01
2005-12-01,60.68,59.43,53,67.39,58.84,56.85
2006-01-01,61.18,58.01,53.17,52.88,56.03,56.76
2006-02-01,61.85,60.56,56.78,75.96,62.37,59.21
2006-03-01,62.5,58.71,56.64,63.72,59.84,58.93
2006-04-01,62.9,57.87,54.65,60.23,58.38,57.95
2006-05-01,60.49,57.96,52.44,59.32,56.79,56.2
2006-06-01,56.69,51.13,48.92,52.39,51.94,51.84
2006-07-01,56.55,49.12,50.95,59.46,53.63,52.27
2006-08-01,60.56,50.21,48.79,71.7,56.35,52.77
2006-09-01,59.02,49.01,51.54,58.27,54.23,53.29
2006-10-01,58.95,51.3,51.23,57.6,54.39,53.65
2006-11-01,58.44,51.75,51.12,54.76,53.77,53.54
2006-12-01,58.11,53.5,49.64,52.99,53.12,53.15
2007-01-01,62.35,51.7,53.36,50.08,54.7,55.78
2007-02-01,62.74,55.88,54.05,61.16,57.92,57.17
2007-03-01,61.4,55.45,53.5,70.02,58.97,56.4
2007-04-01,60.9,53.5,50.84,54.79,54.62,54.58
2007-05-01,62.31,54.46,50.58,59.24,55.89,55.11
2007-06-01,63.08,59.11,52.04,55.03,56.69,57.08
2007-07-01,60.87,57.88,51.37,58.53,56.32,55.8
2007-08-01,57.58,56.84,51.48,57.38,55.12,54.59
2007-09-01,59.07,58.33,54.57,76.06,60.45,56.82
2007-10-01,57.36,56.6,54.23,70.05,58.44,55.74
2007-11-01,57.81,53.96,50.98,60.43,55.04,53.78
2007-12-01,58.81,55.47,51.58,55.92,54.94,54.71
2008-01-01,58.53,48.32,51.17,69.02,55.87,52.81
2008-02-01,58.6,52.66,53.1,67.54,57.13,54.71
2008-03-01,54.7,50,47.21,61.05,52.23,50.17
2008-04-01,55.28,49.75,47.45,64.29,53.03,50.41
2008-05-01,58.07,48.48,47.26,64.41,53.45,50.9
2008-06-01,54.88,41.58,45.87,57.58,49.56,47.7
2008-07-01,50.26,38.17,44.23,65.13,48.58,44.73
2008-08-01,52.64,39.14,46.05,65.68,50.14,46.53
2008-09-01,53.13,39.36,47.56,66.96,51.11,47.43
2008-10-01,44.27,28.19,39.95,57.34,42.15,38.62
2008-11-01,40.55,24.47,34.46,61,39.16,34.08
2008-12-01,39.65,21.65,34.35,54.99,37.24,33.11
2009-01-01,39.6,22.97,32.6,62.46,38.22,32.59
2009-02-01,39.41,20.05,31.88,62.66,37.41,31.53
2009-03-01,40.51,24.2,31.06,61.22,37.87,32.44
2009-04-01,44.01,27.02,32.89,62.16,40.14,35.01
2009-05-01,46.1,30.32,33.95,63.13,41.85,36.9
2009-06-01,48.97,33.5,36.52,62,43.91,39.71
2009-07-01,53.56,33.95,39.25,65.99,46.93,42.49
2009-08-01,57.56,37.78,44.84,60.64,49.73,47.19
2009-09-01,59.19,37.36,49.2,64.44,52.41,49.61
2009-10-01,60.98,43.62,48.82,62.93,53.59,51.42
2009-11-01,60.9,41.49,48.47,64.71,53.38,50.75
2009-12-01,61.45,41.49,47.79,67.29,53.76,50.61
2010-01-01,61.5,45.33,53.28,62.11,55.55,54.03
2010-02-01,61.69,46.65,55.06,62.37,56.56,55.21
2010-03-01,57.73,47.28,57.94,63.37,56.95,55.45
2010-04-01,64.89,40.73,62.77,63.97,59.46,58.42
2010-05-01,63.89,43.61,60.89,65.64,59.36,57.89
2010-06-01,64.48,40.36,60.04,61.99,57.9,56.95
2010-07-01,65.73,44.31,57.84,66.47,58.96,57.21
2010-08-01,65.58,48.14,57.05,63.65,58.8,57.68
2010-09-01,66.96,50,59.47,64.73,60.6,59.64
2010-10-01,66.09,54.08,57.88,62.83,60.18,59.56
